XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
7.920173,-33.00891,-4.477173,-0.2181831,-0.001837233,-0.006995972,0,0
7.452132,2.768664,-3.932983,0.008294322,-0.01027333,0.007237916,0.1,0
7.978271,12.61233,-2.701324,0.02239963,-0.009948285,0.003423754,0.2,0
7.802343,24.87976,-1.08963,0.04192076,-0.009126677,-0.004099309,0.3,0
6.691396,36.05576,-359.4062,0.06067429,-0.00692869,-0.01531766,0.4,0
5.394547,44.29362,-358.773,0.075652,-0.004340792,-0.02857822,0.5,0
4.602881,47.36997,-359.1295,0.08365238,-0.002462355,-0.03721093,0.6,0
4.471206,47.59386,-359.7534,0.08662174,-0.002087936,-0.04071269,0.7,0
4.521357,47.1279,-0.03271484,0.08745025,-0.002126188,-0.04207943,0.8000001,0
4.501762,46.47207,-0.09841919,0.08684497,-0.002025234,-0.04171893,0.9000001,0
4.583807,45.66046,-359.9436,0.084879,-0.00228342,-0.03949179,1,0
4.705954,44.74868,-359.8045,0.08217476,-0.002465252,-0.03643832,1.1,0
4.728512,44.09263,-359.4997,0.079535,-0.002716172,-0.033427,1.2,0
4.733759,43.31756,-359.126,0.07688943,-0.002708336,-0.03072008,1.3,0
4.618987,42.36926,-358.8477,0.0747472,-0.002468811,-0.0286579,1.4,0
4.507219,41.83067,-358.5929,0.07330092,-0.002303435,-0.02781033,1.5,0
4.41499,41.30578,-358.5541,0.07252683,-0.0020547,-0.02751622,1.6,0
4.445541,40.90734,-358.5312,0.07181898,-0.002122717,-0.02741145,1.7,0
4.379662,40.66941,-358.5578,0.07125039,-0.001932477,-0.0278238,1.8,0
4.255124,40.49157,-358.5594,0.07067278,-0.001676861,-0.02799351,1.9,0
4.223364,40.14322,-358.6029,0.06983481,-0.001607942,-0.02774987,2,0
4.150286,39.68167,-358.5718,0.06864639,-0.001342281,-0.02733962,2.1,0
4.017072,38.99591,-358.6475,0.06744157,-0.0009931887,-0.02681759,2.2,0
3.974977,38.16916,-358.744,0.06625532,-0.0006478375,-0.02623933,2.3,0
3.954027,37.47803,-358.7732,0.06519429,-0.0007629983,-0.02583679,2.4,0
3.962848,37.05315,-358.8657,0.06487364,-0.0006057039,-0.02606939,2.5,0
3.965215,36.85211,-359.1344,0.06494844,-0.0004627928,-0.02666863,2.6,0
3.984947,36.52705,-359.3431,0.06455076,-0.0004370259,-0.02722476,2.7,0
3.898377,36.13074,-359.466,0.06381558,-0.0001880972,-0.02775455,2.799999,0
3.925232,35.6549,-359.5525,0.06265976,3.26643E-05,-0.02788815,2.899999,0
3.858817,35.26592,-359.6434,0.06177203,-6.462724E-05,-0.02751047,2.999999,0
3.995011,34.74785,-359.6981,0.06050615,-0.0001983611,-0.02666729,3.099999,0
3.912211,33.8797,-359.8062,0.05884366,-0.0001515476,-0.02571097,3.199999,0
3.661626,33.12136,-0.06439209,0.05830396,-0.0001827424,-0.02377376,3.299999,0
4.132717,32.3242,-0.3326111,0.05898269,-0.001125285,-0.01958014,3.399999,0
4.416895,31.9321,-0.3738708,0.05997308,-0.002142221,-0.01567924,3.499999,0
4.535104,32.06027,-0.5741272,0.06133613,-0.00280823,-0.01291141,3.599999,0
4.973064,32.5743,-0.5944519,0.06268501,-0.003746902,-0.01207935,3.699999,0
5.192091,33.38361,-0.622406,0.06461707,-0.004319912,-0.01298105,3.799999,0
5.386497,33.67178,-0.7205505,0.06544086,-0.004778014,-0.01433585,3.899998,0
