XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
-33.28488,33.93472,356.5351,0.2340783,0.08909985,0.1798763,0,0
-32.78363,-0.2272339,-3.221405,0.001911544,0.03018738,-0.05132398,0.1,0
-32.36652,-0.2151184,-3.241486,0.001475875,0.0292424,-0.04918883,0.2,0
-31.81647,-359.7725,-3.202545,0.001736506,0.02823319,-0.04711556,0.3,0
-27.66544,0.9716003,-3.053253,0.003235075,0.02201679,-0.03932656,0.4,0
-17.94763,2.898309,-3.259674,0.007446691,0.009891364,-0.02490075,0.5,0
-17.78568,4.603924,-2.78772,0.01133327,0.006036679,-0.02034165,0.6,0
-16.35941,5.710817,-2.420807,0.01454285,0.004737825,-0.01739894,0.7,0
-16.28943,4.972764,-2.723785,0.01481827,0.004076403,-0.01665592,0.8000001,0
-16.85831,3.479439,-3.132446,0.01340349,0.005510497,-0.0181316,0.9000001,0
-20.29446,1.915265,-2.31897,0.006336205,0.01340603,-0.02717986,1,0
-26.90491,-7.968597,2.38465,-0.01532073,0.02364049,-0.04600052,1.1,0
-26.74689,-24.36832,7.057926,-0.04543811,0.02427862,-0.06521224,1.2,0
-26.89713,-35.24127,10.4803,-0.06234537,0.02326956,-0.08294089,1.3,0
-27.88287,-35.68445,11.52097,-0.06555491,0.02558291,-0.09180313,1.4,0
-30.11401,-30.68704,10.15334,-0.05946121,0.02953329,-0.09263832,1.5,0
-33.50558,-24.08777,7.727419,-0.04801557,0.03432768,-0.09275186,1.6,0
-35.70663,-18.01273,-355.225,-0.0370675,0.03790646,-0.09189798,1.7,0
-37.48471,-13.94797,-357.1567,-0.02757522,0.04014356,-0.08985499,1.8,0
-37.13104,-10.94504,-358.8944,-0.01830544,0.0397975,-0.08337834,1.9,0
-36.31335,-9.258057,-0.4766235,-0.009807699,0.03773319,-0.07394514,2,0
-33.02286,-7.36322,-3.006653,0.0009607589,0.03371366,-0.05918053,2.1,0
-30.73462,-5.21167,-4.803345,0.00955813,0.02940915,-0.04672605,2.2,0
-25.40259,-4.73645,-6.268494,0.01480592,0.02048874,-0.03242879,2.3,0
-21.36804,-4.38678,-6.411896,0.01822349,0.01185723,-0.01961202,2.4,0
-18.36542,-4.326508,-5.507019,0.0178202,0.00392626,-0.009847104,2.5,0
-15.10165,-3.324951,-5.016022,0.01815275,-0.003279562,-0.001017817,2.6,0
-4.378693,1.070231,-3.509247,0.02098068,-0.02138345,0.01241939,2.7,0
-7.112091,3.371195,-2.180664,0.02038937,-0.0223189,0.01818415,2.799999,0
-4.594513,4.764444,-1.384766,0.02178319,-0.0302587,0.0262583,2.899999,0
-0.2987671,5.82998,-1.150513,0.02453285,-0.04203493,0.03473863,2.999999,0
8.324218,6.674806,-0.8898315,0.0285894,-0.06494409,0.04538378,3.099999,0
16.56336,7.607303,-0.7205505,0.03261946,-0.09159764,0.05431602,3.199999,0
24.04556,8.385862,-0.1482849,0.03414381,-0.114947,0.06015122,3.299999,0
28.42866,8.612533,-359.062,0.03423702,-0.1341808,0.06807108,3.399999,0
29.21581,9.008386,-357.8149,0.03307769,-0.1481874,0.07432134,3.499999,0
28.73653,8.343707,2.511961,0.02963656,-0.1492309,0.07773656,3.599999,0
26.09322,7.773917,2.356465,0.02668806,-0.1419495,0.07820062,3.699999,0
25.41675,7.729295,2.572059,0.02430884,-0.1396234,0.0769354,3.799999,0
25.80198,7.568643,2.620169,0.02295597,-0.141285,0.07689527,3.899998,0
25.49516,7.384058,2.395645,0.02226029,-0.1407504,0.0771952,3.999998,0
24.60254,7.442751,2.540965,0.02106841,-0.1383417,0.07711903,4.099998,0
24.26509,7.225436,2.787834,0.0194723,-0.1369338,0.07674249,4.199998,0
24.69552,7.129682,2.608778,0.01896578,-0.1381976,0.07634376,4.299998,0
24.67526,7.4111,2.435217,0.01957699,-0.1381379,0.07645396,4.399998,0
23.1321,7.192355,2.398519,0.01782116,-0.1302955,0.0759109,4.499998,1
16.89435,6.232481,1.670171,0.01571802,-0.106211,0.07104633,4.599998,0
6.842001,5.502176,-359.8231,0.01627786,-0.07200547,0.05879431,4.699998,0
-8.128326,3.889663,-2.243683,0.01610734,-0.02971303,0.03559205,4.799998,0
-23.05667,1.465816,-4.742767,0.01559798,0.003245628,0.004339797,4.899998,0
-30.67224,-0.4002686,-5.848999,0.01581534,0.02087228,-0.02112564,4.999998,0
-35.05072,-1.174744,-5.600067,0.01582278,0.02934765,-0.03806064,5.099998,0
-36.73328,-1.117462,-5.144318,0.01635982,0.03374255,-0.04883372,5.199997,0
-37.70972,-0.62146,-4.875732,0.01726424,0.03636378,-0.0551039,5.299997,0
-37.51279,-0.5029602,-4.489197,0.01758255,0.03689291,-0.05759674,5.399997,0
-34.94263,-0.5281982,-4.014893,0.01693655,0.03427667,-0.05375559,5.499997,0
-25.11877,-0.4042664,-3.452545,0.01576586,0.02085327,-0.0373931,5.599997,0
-12.60706,-359.8723,-3.075897,0.01492077,6.137998E-06,-0.01555999,5.699997,0
-0.6113892,0.8902186,-2.487305,0.01412471,-0.02591604,0.006201931,5.799997,0
10.74597,2.759774,-0.8010864,0.01421076,-0.05490965,0.02561891,5.899997,0
12.78167,4.013394,0.9414892,0.01448801,-0.06535044,0.03573817,5.999997,0
12.72392,4.346196,1.443083,0.01432341,-0.06731248,0.0401269,6.099997,0
11.97383,4.070581,1.154269,0.01451713,-0.06572248,0.04136796,6.199996,0
