XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
-8.369568,0.9912739,-1.751434,-0.1554857,-0.00133412,-0.04908197,0,0
-8.798218,-2.572174,-0.9423523,-0.003076676,0.01144111,-0.01234473,0.1,0
-8.99939,-2.231232,-0.4580383,-0.003800083,0.01193444,-0.01276013,0.2,0
-9.036774,-1.262878,-0.3609619,-0.002625105,0.01173745,-0.01315594,0.3,0
-8.554199,-0.8188782,-0.2669373,-0.001763972,0.01106973,-0.01359687,0.4,0
-7.698273,-0.6669922,-0.2659912,-0.0009689694,0.009792566,-0.01399817,0.5,0
-7.830505,-0.4177856,-0.5109863,-4.154444E-05,0.009866153,-0.01415957,0.6,0
-8.189362,-0.3840637,-0.6670837,0.0001613684,0.01045854,-0.0147298,0.7,0
-8.586884,-0.05184937,-0.7984619,0.0004237182,0.01102333,-0.01497266,0.8000001,0
-8.879639,0.2552455,-0.8442383,0.0008695675,0.01139483,-0.01540537,0.9000001,0
-9.048706,0.2930457,-0.7998657,0.0006909771,0.01156752,-0.0158803,1,0
-9.667603,0.3078389,-0.7129517,0.0001931265,0.01223158,-0.01696607,1.1,0
-10.10846,0.1052714,-0.5446472,-0.0009924816,0.01309001,-0.01804442,1.2,0
-10.50943,-0.1607361,-0.3705444,-0.002429857,0.01357629,-0.0190752,1.3,0
-10.69669,-0.0942688,-0.2989502,-0.003182213,0.01380905,-0.01954936,1.4,0
-10.70398,0.2272493,-0.3101807,-0.00314429,0.01366326,-0.01957388,1.5,0
-10.79669,0.7020745,-0.3240356,-0.002530906,0.01387937,-0.01921773,1.6,0
-11.04135,0.8472685,-0.302063,-0.002063911,0.01425248,-0.01870096,1.7,0
-10.84372,0.8300272,-0.4241333,-0.001658414,0.01403871,-0.01756877,1.8,0
-10.61432,0.9599572,-0.4277954,-0.001393426,0.01368819,-0.0169285,1.9,0
-10.45374,0.8377368,-0.270874,-0.001554447,0.01326045,-0.01623859,2,0
-10.24789,0.4800566,-0.08181763,-0.002440434,0.01302535,-0.01543407,2.1,0
-10.10858,0.1777378,0.09893737,-0.00352868,0.01283186,-0.01425064,2.2,0
-9.756744,0.15912,0.2575252,-0.004363152,0.01231345,-0.01322507,2.3,0
-9.706055,0.2427031,0.3147072,-0.004699633,0.0121848,-0.01291834,2.4,2
-9.764526,0.2667743,0.3979671,-0.004777671,0.01220541,-0.01320429,2.5,0
-9.778503,0.3246359,0.3277756,-0.004460536,0.01231804,-0.01381877,2.6,0
-10.0387,0.2908716,0.2807545,-0.004020969,0.01256569,-0.01409728,2.7,0
-10.0405,0.1257656,0.4032122,-0.004212662,0.01250486,-0.01399163,2.799999,0
-9.778473,-0.1550293,0.483138,-0.005039755,0.01190773,-0.01386288,2.899999,0
-9.664337,-0.1716919,0.4810333,-0.005279315,0.01168154,-0.01349628,2.999999,0
-9.73465,-0.1489868,0.5703064,-0.005560517,0.01183605,-0.01377298,3.099999,0
-9.950928,0.07900612,0.5805591,-0.005193179,0.01196186,-0.01375129,3.199999,0
-10.0397,0.4389035,0.4991665,-0.004308943,0.01216377,-0.01423625,3.299999,0
-10.18216,0.7463415,0.399813,-0.003690582,0.01252924,-0.01489196,3.399999,0
-10.33572,1.198171,0.321465,-0.002833571,0.0127039,-0.01578877,3.499999,0
-10.95993,2.274848,0.07586716,-0.0008343831,0.0137815,-0.01661426,3.599999,0
-13.46573,8.769172,359.4785,0.007256442,0.01693942,-0.01956354,3.699999,0
-15.88638,15.2861,358.2418,0.01475852,0.02055608,-0.02463589,3.799999,0
-19.83017,19.81704,356.6338,0.02107546,0.02482593,-0.03243662,3.899998,0
-23.8652,23.56546,355.3722,0.0252207,0.02946364,-0.04049473,3.999998,0
-28.70847,27.9376,353.7919,0.02790609,0.03365909,-0.0503576,4.099998,0
-32.24588,29.95345,352.3622,0.02803898,0.03720064,-0.05840842,4.199998,0
-36.40042,31.87531,350.5546,0.02665532,0.0403889,-0.06846255,4.299998,0
-39.77686,31.54837,349.0438,0.02317385,0.04361977,-0.07746262,4.399998,0
-43.63138,23.84125,350.6994,0.01404704,0.04692911,-0.08457464,4.499998,0
-45.65518,19.59632,-8.917694,0.008337492,0.04849035,-0.08948359,4.599998,0
-46.51767,18.49552,-9.832642,0.006571364,0.04911668,-0.09140335,4.699998,0
-46.05154,19.149,-10.53369,0.007382132,0.04850314,-0.08982249,4.799998,0
-45.82208,19.51381,-11.06146,0.009350184,0.04849422,-0.08782559,4.899998,0
-44.61264,17.71818,-10.74268,0.01001841,0.04745504,-0.08279203,4.999998,0
-42.78223,13.993,-9.69342,0.007619465,0.04631316,-0.07497654,5.099998,0
-41.8786,6.710343,-7.500275,0.000470438,0.04664201,-0.06688157,5.199997,0
