XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
12.75,2.579558,-360.0017,-0.09113983,-0.05395991,-0.1184707,0,0
12.69551,0.08128239,-0.03378296,0.0002244078,-0.01948185,0.01416124,0.1,0
12.77299,0.1362564,-0.1141663,0.0002881363,-0.0195423,0.01425649,0.2,0
12.82365,0.169004,-0.1039429,0.0002384335,-0.0197828,0.01439708,0.3,0
12.81566,0.146461,-0.08865356,0.0002245642,-0.01983095,0.01451526,0.4,0
12.9515,0.213764,-0.09768677,0.0002597608,-0.01996591,0.01445128,0.5,0
12.99533,0.2030875,-0.1249695,0.0002693534,-0.0201531,0.01451267,0.6,0
12.9975,0.2257259,-0.1303711,0.0003164522,-0.02009217,0.01444597,0.7,0
12.95697,0.2669493,-0.1741333,0.0005771136,-0.0199486,0.01444414,0.8000001,0
13.02656,0.3255243,-0.2110901,0.000628355,-0.0201043,0.01457721,0.9000001,0
13.05881,0.3059067,-0.2007141,0.0006127805,-0.02007388,0.01460279,1,0
13.10573,0.2783384,-0.2133484,0.0005322443,-0.02009038,0.01474594,1.1,0
13.09339,0.2640642,-0.204895,0.0004774556,-0.02012206,0.01483129,1.2,0
12.46134,0.1807616,-0.1596985,0.0001417063,-0.01894037,0.01482159,1.3,0
11.85314,359.9925,-0.1669006,-8.153543E-05,-0.01787165,0.01434247,1.4,0
11.72172,0.1567353,-0.2646484,0.0002803765,-0.01809806,0.01360762,1.5,0
9.983644,0.2716163,-0.4558105,0.0007469291,-0.01466601,0.0132607,1.6,0
6.499918,-0.09375,-0.7606201,0.0008056117,-0.009242764,0.01196764,1.7,0
0.7232678,-0.9743652,-0.785614,-8.129701E-05,0.0001304258,0.009303618,1.8,0
-6.948456,-1.412201,-0.7304688,-0.0009072796,0.01058709,0.003940575,1.9,0
-12.44675,-1.68396,-0.9573364,-0.001878638,0.01791733,-0.0005105982,2,0
-15.32376,-1.886902,-1.368286,-0.002272066,0.02147788,-0.004645915,2.1,0
-16.40784,-1.924072,-1.348755,-0.002112791,0.02348247,-0.007036307,2.2,0
-19.17047,-1.330292,-0.8566284,-0.001301873,0.02660607,-0.009314295,2.3,0
-22.5368,-0.3121338,-0.2285767,-0.0001114868,0.03066161,-0.0133876,2.4,0
-24.59195,0.1898844,-0.4181824,0.0009834832,0.03245484,-0.01836296,2.5,0
-24.88879,-0.008117676,-0.9396973,0.001847276,0.03308958,-0.02219376,2.6,0
-25.65057,-359.7786,-0.9933777,0.002873921,0.03429691,-0.0261974,2.7,0
-26.61673,0.63117,-1.058624,0.003455211,0.03521699,-0.02863816,2.799999,0
-28.85461,0.824272,-1.112427,0.003988266,0.03727436,-0.0318885,2.899999,0
-29.67493,1.033471,-1.349609,0.004682351,0.03849748,-0.03593355,2.999999,0
-29.06763,0.4191472,-0.8180542,0.003593367,0.03748343,-0.03797805,3.099999,0
-22.99054,-4.134064,1.356445,-0.002874535,0.03127752,-0.03675121,3.199999,0
-16.84119,-10.80832,2.770423,-0.0129523,0.02468226,-0.03341304,3.299999,0
-14.3833,-17.05743,3.846902,-0.02282838,0.02099307,-0.03060242,3.399999,0
-12.00085,-23.42203,4.515131,-0.03315951,0.0177468,-0.02839007,3.499999,0
-9.192047,-29.98535,4.755766,-0.04266277,0.01382533,-0.02776761,3.599999,0
-7.558655,-35.39063,4.82254,-0.04977455,0.01132442,-0.02900372,3.699999,0
-6.43338,-42.26877,5.382957,-0.05801378,0.009466732,-0.03239058,3.799999,0
-5.200226,-47.11679,5.683154,-0.06362064,0.007859495,-0.03515249,3.899998,0
-4.611115,-51.49149,6.117176,-0.06859436,0.006712461,-0.03817604,3.999998,0
-4.720947,-54.62006,5.91355,-0.07180056,0.006528253,-0.04013556,4.099998,0
