XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-2.050201,2.849728,-7.208191,-0.1187111,0.0084732,-0.2662783,0,0,79.70527
-2.571503,-4.547485,-7.729065,-0.1331387,0.009272242,-0.2627572,0.1,0,74.54612
-1.535583,-6.097565,-6.805603,-0.139116,0.00750362,-0.2581305,0.2,0,20.55107
-0.2575989,-2.941833,-5.9646,-0.1365373,0.005692407,-0.2542076,0.3,0,35.18059
0.1862298,1.119776,-5.381714,-0.1302363,0.005013598,-0.2524265,0.4,0,41.27295
0.2620573,3.50297,-5.552032,-0.1241222,0.004135668,-0.2519343,0.5,0,23.91335
1.280193,4.061476,-5.880585,-0.1187152,0.001362815,-0.2453587,0.6,0,12.09805
3.618493,2.526292,-6.202271,-0.1136314,-0.003583819,-0.227224,0.7,0,28.08605
4.39902,-0.3276978,-5.422791,-0.1109665,-0.0008050734,-0.2088743,0.8000001,0,31.10645
4.300025,-5.281158,-3.351227,-0.1124703,0.01004255,-0.2037676,0.9000001,0,55.12816
1.461825,-7.197144,-3.472809,-0.1164726,0.02257956,-0.2094586,1,0,34.22873
0.1260724,-7.59906,-4.245087,-0.1203784,0.02520251,-0.2220735,1.1,0,15.91969
0.8498824,-8.840088,-5.784668,-0.120987,0.021213,-0.2410964,1.2,0,20.98077
2.769037,-8.87326,-7.386017,-0.1207331,0.01489555,-0.2738591,1.3,0,24.98584
-1.365936,-8.620239,-3.874054,-0.1180416,0.01433639,-0.3170786,1.4,0,54.28372
-4.599182,-9.581085,-1.730591,-0.1088246,0.01361691,-0.356826,1.5,0,39.69505
-10.21878,-9.819519,-1.466583,-0.09370553,0.02158744,-0.3744847,1.6,0,56.29607
-10.7916,-6.345001,-2.342224,-0.07665396,0.02543513,-0.3672627,1.7,0,34.7237
-8.089844,-3.650146,-1.688904,-0.06943925,0.02193377,-0.3528439,1.8,0,39.45173
-5.300903,-4.02478,-1.468414,-0.06925989,0.01614432,-0.3433227,1.9,0,28.19176
-3.916534,-5.560394,-0.8485718,-0.07066011,0.01169193,-0.3416798,2,0,21.22188
-2.818787,-6.883972,-1.332397,-0.06825355,0.007241334,-0.3473758,2.1,0,18.07047
-3.178375,-5.31839,-1.618713,-0.06698999,0.006856376,-0.3596463,2.2,0,16.17333
-4.685181,-3.444061,-0.7902222,-0.06695949,0.0103596,-0.3691384,2.3,0,25.85116
-7.795105,-1.356781,-2.173492,-0.06476581,0.01954839,-0.374725,2.4,0,39.13095
-13.65622,1.376654,-4.946167,-0.06047624,0.03019122,-0.3813975,2.5,0,68.31966
-15.25931,1.943546,-5.492249,-0.06306922,0.0333664,-0.3856145,2.6,0,17.41762
-12.96716,1.305976,-3.965118,-0.07143007,0.02815747,-0.3837273,2.7,0,27.41758
-9.577423,0.4281076,-2.525024,-0.08003212,0.01933608,-0.3791061,2.799999,0,37.20506
-6.671539,-0.1122742,-1.427856,-0.08870392,0.01200446,-0.3732612,2.899999,0,31.26208
-3.201019,0.05374308,-1.160461,-0.0958397,0.005025011,-0.3671276,2.999999,0,34.8587
-2.607788,2.164371,-2.099152,-0.09768826,0.003615841,-0.3631331,3.099999,0,23.42724
-3.987366,7.161859,-2.830719,-0.0932269,0.006793589,-0.3615318,3.199999,0,51.95485
-5.786377,14.62042,-2.761169,-0.08277477,0.01118345,-0.3616141,3.299999,0,76.7831
-8.224518,24.40753,-2.168518,-0.06827645,0.0161144,-0.3654663,3.399999,0,101.7262
-9.30127,28.38137,-2.392639,-0.05990605,0.01813881,-0.3703756,3.499999,0,40.90141
-9.63089,27.17307,-3.564911,-0.05586651,0.01713618,-0.3728311,3.599999,0,18.46466
-9.2146,24.28037,-3.309082,-0.05486557,0.0158095,-0.3724835,3.699999,0,28.92361
-8.428223,18.19336,-3.937653,-0.06110703,0.0140863,-0.3663847,3.799999,0,62.64258
-7.672791,4.555985,-5.7547,-0.08161518,0.01355215,-0.3590583,3.899998,0,140.2761
-7.413849,-10.07727,-6.759644,-0.1040379,0.01291773,-0.3566277,3.999998,0,148.0065
-6.408264,-14.32391,-6.047913,-0.1152219,0.01110939,-0.3559761,4.099998,0,43.38143
-5.90387,-13.58337,-5.317749,-0.1176202,0.01014159,-0.3558303,4.199998,0,12.04619
-6.422821,-13.51541,-5.127167,-0.118359,0.0104951,-0.3581268,4.299998,0,5.595296
-6.587555,-13.25189,-4.935242,-0.1171097,0.01048933,-0.3598171,4.399998,0,3.794913
-7.232422,-10.8765,-3.887146,-0.1128728,0.01208273,-0.35921,4.499998,0,27.85096
-8.817078,-4.617706,-2.632202,-0.1038824,0.01514249,-0.3581619,4.599998,0,67.41499
-9.233185,-2.279175,-3.259674,-0.09882346,0.01603399,-0.3590243,4.699998,0,23.61029
-8.73822,-1.815277,-3.633148,-0.09617618,0.01649879,-0.3614167,4.799998,0,7.380708
-9.031891,-1.756897,-3.757904,-0.09481022,0.01682082,-0.3630241,4.899998,0,3.23851
-8.630737,-1.945129,-3.709625,-0.09474792,0.01599373,-0.363847,4.999998,0,4.458716
-8.260468,-2.519043,-3.433441,-0.09627499,0.01506734,-0.363088,5.099998,0,7.055405
-8.051971,-2.741058,-3.346588,-0.09763037,0.01479566,-0.3622084,5.199997,0,3.090101
-7.895844,-2.734619,-3.559235,-0.0982146,0.01475429,-0.3610214,5.299997,0,2.65408
-7.785126,-2.738495,-3.570648,-0.09846504,0.01472112,-0.3597263,5.399997,0,0
-7.6604,-2.653442,-3.437317,-0.09867649,0.01459064,-0.3591481,5.499997,0,2.093566
-7.615997,-2.735107,-3.331543,-0.09862507,0.01429723,-0.3595648,5.599997,0,0
-7.823273,-2.448669,-3.585449,-0.09739268,0.01450896,-0.3601471,5.699997,0,4.111684
-7.677704,-1.888641,-3.609497,-0.09564579,0.0140891,-0.3601116,5.799997,0,5.747108
-7.374756,-1.720215,-2.75116,-0.0969214,0.01374882,-0.3599309,5.899997,0,9.454247
-7.037506,-2.500458,-2.658081,-0.09939175,0.01305163,-0.3594092,5.999997,0,8.420885
-6.381042,-2.978333,-2.913544,-0.1005709,0.01183164,-0.3580135,6.099997,0,8.668208
-5.817871,-1.318359,-3.362823,-0.09968867,0.01107929,-0.3575185,6.199996,0,17.64975
