XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
12.7383,6.423189,-359.3812,-0.2073707,-0.08071329,-0.1681422,0,0
12.87389,7.227676,-359.298,-0.2062581,-0.08094135,-0.1687281,0.1,0
12.92588,7.902829,-359.3375,-0.2050602,-0.08098327,-0.1689199,0.2,0
12.41626,8.708858,-359.3405,-0.2035822,-0.08002055,-0.1692568,0.3,0
11.63018,9.148679,-359.457,-0.2025268,-0.07841709,-0.16972,0.4,0
10.2622,9.650101,-359.5482,-0.2014663,-0.07622835,-0.1704908,0.5,0
9.181931,9.970198,-359.6356,-0.2007219,-0.0743203,-0.1717555,0.6,0
8.01616,10.45547,-359.8179,-0.1998993,-0.07234962,-0.1732732,0.7,0
6.294066,11.30229,-359.8246,-0.1988501,-0.06952646,-0.1750133,0.8000001,0
5.317619,12.84495,-359.6905,-0.1969985,-0.06780452,-0.1774665,0.9000001,0
5.51466,15.16211,-359.618,-0.1939498,-0.06782024,-0.1792708,1,0
5.401842,17.09418,-359.5383,-0.1908311,-0.06744971,-0.1805287,1.1,0
5.568986,18.55225,-359.5474,-0.1881216,-0.06767205,-0.1817876,1.2,0
6.171032,20.31365,-359.4828,-0.1854343,-0.06873862,-0.1831751,1.3,0
8.655047,24.481,-358.5127,-0.1791602,-0.07285792,-0.1860654,1.4,0
10.0324,31.39476,-357.1848,-0.1702092,-0.07570375,-0.1897916,1.5,0
9.505539,37.22532,3.484053,-0.1604787,-0.07505717,-0.1933196,1.6,0
8.215711,41.66975,3.231443,-0.1513905,-0.07291128,-0.1972183,1.7,0
6.891456,45.44287,-357.2674,-0.1434476,-0.07110938,-0.2010867,1.8,0
6.164977,48.46203,-357.918,-0.1368466,-0.07026359,-0.205796,1.9,0
6.163781,51.85981,-358.515,-0.1300429,-0.07040317,-0.2118237,2,0
6.281431,56.70796,-359.1953,-0.1230066,-0.07091475,-0.2197031,2.1,0
6.628126,65.5664,-359.2382,-0.1111106,-0.07222767,-0.2341398,2.2,0
