XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
-2.314606,6.210283,-0.2281189,0.0005747378,-0.04677555,-0.1279466,0,0
-2.317932,-0.0345459,-0.1989746,0.0001575463,0.003290549,-0.002992624,0.1,0
-2.352478,-360.002,-0.2070313,0.0001946986,0.003258738,-0.003102952,0.2,0
-2.369781,0.01205806,-0.2096252,0.0003188811,0.003332065,-0.003148423,0.3,0
-2.373779,0.05696018,-0.2566223,0.0004693419,0.003325096,-0.003131122,0.4,0
-2.355377,0.0660208,-0.2483215,0.0007206453,0.003168879,-0.003127312,0.5,0
-2.401093,0.05940294,-0.2528687,0.0006395169,0.00314921,-0.00327532,0.6,0
-2.383698,0.08252256,-0.2705994,0.0006894385,0.003152088,-0.003186702,0.7,0
-2.339569,0.1093267,-0.2876892,0.0007723607,0.003034929,-0.003085834,0.8000001,0
-2.340271,0.07396238,-0.2533569,0.0006867414,0.003029119,-0.003110209,0.9000001,0
-2.33844,0.08319003,-0.2568359,0.000680563,0.00299623,-0.003155489,1,0
-2.344574,0.07907639,-0.2477417,0.000817704,0.003031055,-0.003206847,1.1,0
-2.355621,0.1181884,-0.2859497,0.0008806391,0.003142365,-0.003133113,1.2,0
-2.327881,0.1104837,-0.2869873,0.000935521,0.003010922,-0.003235869,1.3,2
-2.373199,0.1166132,-0.2874756,0.0009345105,0.003118695,-0.003301705,1.4,0
-2.364227,0.1548287,-0.3336487,0.001116101,0.003059614,-0.003172416,1.5,0
-2.316772,0.2052532,-0.3843384,0.001152474,0.003044383,-0.003076906,1.6,0
-2.334229,0.1901386,-0.3755798,0.001143911,0.003048905,-0.003122116,1.7,0
-2.324341,0.1912061,-0.3708801,0.001135527,0.003015851,-0.003141004,1.8,0
-2.345276,0.1727397,-0.3678589,0.001198791,0.003120862,-0.003335264,1.9,0
-2.329865,0.134223,-0.3679199,0.0011132,0.003101164,-0.003228434,2,0
-2.288452,0.02833101,-0.3117065,0.0009418996,0.002889789,-0.003232957,2.1,0
-2.351196,-0.10672,-0.2716064,0.0004855432,0.00296151,-0.003372476,2.2,0
-2.308624,-0.2327881,-0.2333984,-9.88692E-06,0.002870212,-0.003366108,2.3,0
-2.23468,-0.4279175,-0.2385864,-0.0004207976,0.002844888,-0.003347923,2.4,0
-2.169769,-1.002777,-0.1650085,-0.001144476,0.002836287,-0.003310001,2.5,0
-2.088745,-1.448608,-0.1019592,-0.002131713,0.002628013,-0.003175755,2.6,0
-2.00943,-1.529327,-0.09158325,-0.002298184,0.002523803,-0.003115947,2.7,0
-1.961395,-1.713531,-0.1188965,-0.002593279,0.002324674,-0.003023265,2.799999,0
-1.881012,-1.899536,-0.1038208,-0.002753482,0.002176814,-0.003145647,2.899999,0
-1.73468,-2.276886,-0.07244873,-0.003317297,0.001958157,-0.003008143,2.999999,0
-1.632721,-2.441589,-0.09786987,-0.003667054,0.001716729,-0.002621422,3.099999,0
-1.610291,-2.397034,-0.1257019,-0.003692734,0.001736244,-0.002706437,3.199999,0
-1.570862,-2.388885,-0.1286316,-0.003629654,0.001658123,-0.002758794,3.299999,0
-1.569824,-2.36261,-0.1683655,-0.003425981,0.001584356,-0.002657466,3.399999,0
-1.556396,-2.318451,-0.2643433,-0.002983517,0.001708994,-0.002727662,3.499999,0
-1.48053,-2.289001,-0.2988586,-0.002697244,0.001490674,-0.002565289,3.599999,0
-1.480957,-2.303375,-0.3123169,-0.002433863,0.001459831,-0.002362449,3.699999,0
-1.460266,-2.283173,-0.3074341,-0.002328643,0.001429043,-0.002139027,3.799999,0
-1.381042,-2.279144,-0.3217773,-0.002347585,0.001279113,-0.002021354,3.899998,0
-1.344177,-2.413605,-0.2714844,-0.002542443,0.001266927,-0.002063579,3.999998,0
-1.276276,-2.519684,-0.213623,-0.002816912,0.001171726,-0.002228078,4.099998,0
-1.204315,-2.665558,-0.180603,-0.003276993,0.00107929,-0.002108753,4.199998,0
-1.104492,-2.831146,-0.168396,-0.00361392,0.0009469966,-0.001892634,4.299998,0
-0.9961548,-2.975494,-0.1218567,-0.003780727,0.0008567238,-0.001938625,4.399998,0
-0.9421082,-3.231293,-0.08502197,-0.004280667,0.0008468873,-0.001920473,4.499998,0
-0.930603,-3.470734,-0.02719116,-0.004788045,0.0007447991,-0.0019964,4.599998,0
-0.8886414,-3.534088,-359.9901,-0.005152747,0.0007209947,-0.002092892,4.699998,0
-0.8692627,-3.634155,0.05014202,-0.005642135,0.0006883961,-0.002257722,4.799998,0
-0.8587036,-3.672241,0.06397685,-0.005771053,0.0007460643,-0.002326808,4.899998,0
-0.8522949,-3.724731,0.1046555,-0.005736277,0.0007137569,-0.002376113,4.999998,0
-0.7683105,-3.752777,0.05148822,-0.005652603,0.0006351834,-0.002181548,5.099998,0
-0.6854553,-3.759155,0.0393969,-0.005799662,0.0004892062,-0.002124805,5.199997,0
-0.7194824,-3.735291,-360.0011,-0.005684842,0.0005824753,-0.002269624,5.299997,0
-0.5990295,-3.693176,-0.06137085,-0.005525156,0.000275666,-0.002095843,5.399997,0
-0.5042725,-3.633972,-0.1152039,-0.005187622,0.000114264,-0.001907664,5.499997,0
-0.5003052,-3.641693,-0.114563,-0.005182706,0.0002306417,-0.001882174,5.599997,0
-0.4526978,-3.58728,-0.1001282,-0.005158068,0.0001511776,-0.002041282,5.699997,0
-0.4589539,-3.585388,-0.08145142,-0.005202919,2.721631E-05,-0.002042427,5.799997,0
-0.4655457,-3.6026,-0.09146118,-0.005288281,0.0001206258,-0.001915866,5.899997,0
-0.3672791,-3.570496,-0.1097717,-0.005258903,-8.796471E-05,-0.0017786,5.999997,0
-0.3474121,-3.555786,-0.1096802,-0.005267475,-0.0001322466,-0.001818975,6.099997,0
-0.324585,-3.541718,-0.1033936,-0.00520448,-0.0001516494,-0.001679197,6.199996,0
-0.2074585,-3.465027,-0.1543884,-0.005194347,-0.0003397854,-0.001432964,6.299996,0
-0.1652832,-3.52243,-0.1255798,-0.00552104,-0.0004130981,-0.001282867,6.399996,0
-0.005767822,-3.57196,-0.1116028,-0.005510181,-0.0006493418,-0.001276042,6.499996,0
0.1550656,-3.577118,-0.08453369,-0.005448271,-0.0008403271,-0.000988479,6.599996,0
0.4298839,-3.67926,-0.06231689,-0.005583033,-0.001361521,-0.0005919137,6.699996,0
1.004532,-3.944794,0.09651763,-0.006087743,-0.002367469,-0.0005122691,6.799996,0
1.438204,-4.540405,0.3236876,-0.007184885,-0.003100054,-0.000217705,6.899996,0
1.695944,-4.77832,0.5127996,-0.008139753,-0.00341241,0.0003504914,6.999996,0
1.767592,-4.875519,0.6285247,-0.008803334,-0.003483162,0.0007696338,7.099996,0
2.112519,-5.208344,0.8289549,-0.009700503,-0.004054699,0.0007355786,7.199996,0
2.691524,-5.860107,1.015264,-0.01114071,-0.005087879,0.0005257642,7.299995,0
3.427694,-6.72998,1.106483,-0.0127336,-0.006141976,0.001055943,7.399995,0
3.82035,-6.795227,1.203589,-0.01346115,-0.006772066,0.001815178,7.499995,0
3.910029,-6.679016,1.20709,-0.01362976,-0.0067613,0.002375964,7.599995,0
4.076048,-6.742889,1.202084,-0.01338861,-0.007069193,0.002366298,7.699995,0
4.153693,-6.651093,1.124185,-0.01316504,-0.007438303,0.002376755,7.799995,0
4.273376,-6.608734,0.9981989,-0.01259722,-0.007542868,0.002547581,7.899995,0
4.44428,-6.555939,0.9008577,-0.01233164,-0.007926837,0.003059067,7.999995,0
4.529774,-6.390106,0.8280109,-0.0119117,-0.007939698,0.003450495,8.099995,0
4.566273,-6.242889,0.6876752,-0.01143441,-0.007962099,0.003462472,8.199995,0
4.524295,-6.074402,0.5717303,-0.0108588,-0.007867839,0.003395817,8.299995,0
4.5444,-6.005005,0.5347154,-0.01035806,-0.007983882,0.003068713,8.399996,0
