XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-0.4663696,16.5521,0.7009826,0.1703403,-0.003236871,-0.2539405,0,0,165.7623
-0.487915,15.31371,0.4841098,0.1687143,-0.003120393,-0.253145,0.1,0,12.59879
-0.5118713,14.67958,0.5696316,0.1678129,-0.002630706,-0.252343,0.2,0,6.404111
-0.3781128,13.40401,0.6001227,0.1662674,-0.00200133,-0.2511897,0.3,0,12.82049
-0.2776184,11.23794,0.7290639,0.1640538,-0.001668011,-0.2503212,0.4,0,21.71049
0.02947832,8.195612,0.7106608,0.1610149,-0.001627779,-0.250427,0.5,0,30.5811
0.1905658,5.001757,0.7163785,0.1579943,-0.001321275,-0.2514236,0.6,0,31.97997
0.476088,3.659624,0.9169417,0.1564551,-0.001221469,-0.2527824,0.7,0,13.87596
0.5579806,2.087505,0.6979316,0.1555796,-0.000660672,-0.2540528,0.8000001,0,15.87538
0.4313987,0.8490232,0.7695122,0.1549556,0.0004254898,-0.2549044,0.9000001,0,12.47392
0.1869329,0.2067576,0.5472258,0.1553722,0.000941142,-0.2554335,1,0,7.198174
0.0941196,-0.02731323,0.1089285,0.1565549,0.001292705,-0.2557056,1.1,0,5.035766
0.4333571,0.9671805,-0.1366272,0.1583627,0.0008729168,-0.2553267,1.2,0,10.80634
0.3788281,1.444492,-0.4775696,0.1596798,0.001065545,-0.2543862,1.3,0,5.934709
0.3060549,1.468469,-0.7481995,0.1602681,0.00110353,-0.2535165,1.4,0,2.880353
0.2018939,1.473395,-0.7328796,0.1606307,0.001114151,-0.2531241,1.5,0,0
0.2064502,1.869083,-0.6495972,0.1615333,0.000904208,-0.252805,1.6,0,4.054175
0.1962691,2.386587,-0.8031616,0.1625396,0.0008453978,-0.2528079,1.7,0,5.424841
0.1444075,2.939946,-0.7769165,0.163462,0.0008905831,-0.2525449,1.8,0,5.581291
0.4984068,3.557922,-0.7427368,0.1644934,0.0003410147,-0.2521372,1.9,0,7.132636
1.294861,3.872306,-0.703064,0.1653445,-0.0006592842,-0.2515546,2,0,8.568309
1.752596,4.258753,-1.158325,0.1666856,-0.001461797,-0.250605,2.1,0,7.569183
1.970602,4.330094,-1.295776,0.1675615,-0.002080723,-0.2494136,2.2,0,2.65408
1.789327,4.081998,-1.204803,0.1677814,-0.001901546,-0.2487595,2.3,0,3.189808
1.481691,4.168457,-1.099487,0.1684117,-0.001535994,-0.248521,2.4,0,3.31022
1.279829,4.66781,-1.045135,0.1689921,-0.001469162,-0.2484337,2.5,0,5.381383
0.9836276,4.882929,-0.916748,0.1688967,-0.001113455,-0.248302,2.6,0,3.83594
-1.214966,7.231104,-0.7993164,0.172407,0.002261272,-0.2486108,2.7,0,32.18736
-2.98587,13.2899,-1.005676,0.179103,0.004860304,-0.2492226,2.799999,0,63.08106
-4.296661,15.82947,-0.6885986,0.1829518,0.006288445,-0.2499429,2.899999,0,28.92902
-6.19516,17.32117,359.1528,0.1862921,0.008947568,-0.250281,2.999999,0,24.11219
-7.338226,19.13542,-1.256104,0.1896571,0.01028472,-0.2509338,3.099999,0,21.43108
-6.954498,21.10035,358.8099,0.193023,0.009537094,-0.2529207,3.199999,0,20.11609
-7.335724,21.80316,358.8831,0.1947831,0.009516716,-0.2534558,3.299999,0,8.118011
-8.265076,22.24046,358.9761,0.1963926,0.01094065,-0.2541159,3.399999,0,10.37021
-8.470001,22.48033,358.665,0.1980824,0.01115092,-0.2552158,3.499999,0,4.187135
-8.97879,22.74747,358.5699,0.1995753,0.01193454,-0.2571051,3.599999,0,5.760711
-12.17917,22.51277,358.0908,0.199856,0.01540156,-0.2594105,3.699999,0,32.50679
-14.45508,21.90307,358.0545,0.1998589,0.01827647,-0.261969,3.799999,0,23.58376
-14.63846,21.16615,358.0476,0.1994074,0.01881478,-0.2635686,3.899998,0,7.600141
-13.86255,19.50072,358.4395,0.1978886,0.01802094,-0.2637353,3.999998,0,17.90948
-13.39001,17.86089,358.5722,0.1954444,0.01717528,-0.263276,4.099998,0,16.80932
-14.15433,16.31599,358.9365,0.1918413,0.01815788,-0.2628039,4.199998,0,16.83723
-14.20367,14.12079,359.3336,0.1877442,0.01831172,-0.2624252,4.299998,0,21.33958
-13.47116,11.95113,359.4834,0.1833683,0.01775548,-0.2617131,4.399998,0,22.60423
-13.02328,9.544557,359.9547,0.1791067,0.01738122,-0.2605445,4.499998,0,23.86092
-12.55417,8.246969,0.1156272,0.1765888,0.01704956,-0.2602101,4.599998,0,13.56217
-11.63873,7.647649,359.6141,0.1756692,0.01519511,-0.2590452,4.699998,0,12.54899
-10.85831,7.13418,359.6492,0.1750986,0.01371609,-0.2576939,4.799998,0,9.304037
-9.605072,6.761924,-0.5714417,0.1744728,0.01188496,-0.2557192,4.899998,0,13.36451
-7.241791,5.292267,-0.667572,0.1730268,0.008554989,-0.2529595,4.999998,0,27.91833
-3.824219,3.40784,-0.5000305,0.1710799,0.003830505,-0.2494963,5.099998,0,38.98263
-0.8486938,0.1011523,-0.9266052,0.1668363,-4.658854E-05,-0.2464478,5.199997,0,44.81237
0.4250453,-3.253418,-0.95755,0.1628015,-0.001667402,-0.2452037,5.299997,0,35.88338
1.8605,-5.031311,-1.779266,0.1602257,-0.003629384,-0.2451345,5.399997,0,24.16083
2.920503,-5.646576,-2.27301,0.1598458,-0.005088902,-0.2447096,5.499997,0,13.10429
3.693681,-4.452362,-2.599365,0.1611635,-0.005659534,-0.2439776,5.599997,0,14.74027
3.454821,-3.345184,-2.483429,0.162762,-0.004472459,-0.2431217,5.699997,0,11.31582
