XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
0.4269507,36.90388,1.67031,-0.2100057,-0.3134902,0.1956322,0,0,369.3648
0.6030625,36.76109,1.617329,-0.2098197,-0.3139083,0.1958347,0.1,0,2.272818
0.5039141,36.6278,1.607495,-0.2099596,-0.3137116,0.195834,0.2,0,1.678587
0.3191683,36.62096,1.674304,-0.210339,-0.3132978,0.1959714,0.3,0,2.017411
0.1474235,36.62408,1.660421,-0.210579,-0.313036,0.1957353,0.4,0,1.769387
359.8418,35.53458,1.753171,-0.2125232,-0.3128936,0.1962673,0.5,0,11.34346
0.1021762,30.28848,1.421947,-0.2191922,-0.3132708,0.1988896,0.6,0,52.6316
0.2256931,24.0054,1.551017,-0.227466,-0.3135131,0.2023506,0.7,0,62.86221
-0.5690002,21.2914,1.892859,-0.2314917,-0.3123815,0.2027223,0.8000001,0,28.47631
-0.4740906,20.13029,1.612166,-0.2316476,-0.3122874,0.2013545,0.9000001,0,12.01365
0.3135621,16.87451,0.6785297,-0.2317125,-0.3134735,0.2001363,1,0,34.78677
1.213869,12.20683,-0.6872559,-0.2322021,-0.3153611,0.1990117,1.1,0,49.28685
2.079834,8.492979,-2.116089,-0.2302774,-0.3174773,0.1984683,1.2,0,40.34254
2.775641,8.823252,-2.42981,-0.2250094,-0.319191,0.1969274,1.3,0,8.346197
3.516829,9.063007,-2.554443,-0.2214468,-0.3207269,0.1960023,1.4,0,7.893145
5.227842,8.429677,-3.028076,-0.2191288,-0.3242572,0.1969096,1.5,0,18.72145
7.954354,9.043481,-3.53717,-0.2163329,-0.3295122,0.1997008,1.6,0,28.53123
9.855411,11.90331,-3.665436,-0.2110692,-0.3337537,0.2031837,1.7,0,34.52929
10.85328,18.13733,-2.915955,-0.2007337,-0.3369119,0.2067109,1.8,0,62.24253
11.77956,25.03106,-1.870605,-0.1917831,-0.339204,0.2061495,1.9,0,68.29673
12.3288,31.11954,-0.1441956,-0.1864551,-0.3395655,0.2041558,2,0,59.96398
11.56258,34.78553,-359.4228,-0.1833512,-0.3375638,0.2018643,2.1,0,36.67527
11.08699,36.9917,-359.5938,-0.181739,-0.3358371,0.2007447,2.2,0,22.95472
10.80454,39.15651,-359.4589,-0.1800124,-0.3340055,0.2016073,2.3,0,21.61654
12.22369,41.04485,-359.6368,-0.1780422,-0.3359793,0.2037805,2.4,0,23.96566
14.61767,43.35592,-359.8109,-0.1741064,-0.3407012,0.2063388,2.5,0,33.59626
17.43949,45.77169,-0.008300781,-0.1693082,-0.3473253,0.2083173,2.6,0,37.55062
23.32139,48.58133,-359.6387,-0.1625265,-0.3613025,0.2101549,2.7,0,64.7268
27.58432,50.93448,-358.9398,-0.1556931,-0.3727643,0.2126835,2.799999,0,47.72934
29.05572,52.06316,-358.2513,-0.1525817,-0.3783743,0.2145095,2.899999,0,17.82186
31.30932,52.31752,-357.9742,-0.1501841,-0.3844829,0.2158152,2.999999,0,22.69064
32.32879,52.16304,-358.0471,-0.1474123,-0.3881294,0.2172143,3.099999,0,10.27162
32.91973,52.01713,-358.1722,-0.1453235,-0.3902922,0.2179918,3.199999,0,6.02632
33.48655,51.72564,-358.2553,-0.1434152,-0.3920825,0.2188054,3.299999,0,6.205485
33.72083,51.30532,-358.5127,-0.1424866,-0.3929441,0.2199216,3.399999,0,4.224354
33.59917,50.81608,-358.6827,-0.1421414,-0.392899,0.2211598,3.499999,0,4.405739
33.46008,50.42156,-358.766,-0.1424373,-0.3925608,0.2223115,3.599999,0,3.876533
33.18801,50.0633,-358.8943,-0.1429933,-0.3918595,0.2230687,3.699999,0,4.092605
32.82217,49.9259,-358.8849,-0.1435459,-0.3911217,0.2234346,3.799999,0,3.916706
32.11278,50.60471,-358.6794,-0.1431154,-0.3894868,0.2226081,3.899998,0,9.253425
31.99562,50.09047,-359.0256,-0.1435772,-0.3887896,0.2227699,3.999998,0,4.579946
31.67886,49.60267,-359.1091,-0.1444172,-0.3879828,0.2231523,4.099998,0,5.510728
31.41866,49.35583,-359.0977,-0.1448335,-0.3870278,0.2231262,4.199998,0,3.626164
31.17309,49.20743,-359.2323,-0.144914,-0.3862784,0.2227936,4.299998,0,2.797646
30.98733,49.10876,-359.3918,-0.1448695,-0.3859124,0.222307,4.399998,0,2.306998
30.75658,49.15494,-359.4794,-0.1452087,-0.3854228,0.2217265,4.499998,0,2.59443
30.42719,48.95056,-359.6582,-0.1460619,-0.3842393,0.2211936,4.599998,0,3.815482
29.73539,48.70223,-359.9989,-0.1477764,-0.3818885,0.2201312,4.699998,0,7.569183
28.65631,48.57866,-0.305542,-0.1491077,-0.379113,0.2187785,4.799998,0,11.1275
28.02939,48.33149,-0.6677246,-0.1498851,-0.3773115,0.217912,4.899998,0,7.088607
27.60844,47.92204,-1.084045,-0.1506498,-0.3757207,0.2176539,4.999998,0,5.98723
26.83547,47.53922,-1.394928,-0.1510053,-0.3735059,0.2177019,5.099998,0,8.55002
25.38442,47.1963,-1.766266,-0.1516479,-0.3700715,0.2176276,5.199997,0,14.9982
