XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-337.3656,-357.0324,356.5876,0.1735808,-0.1070034,-0.4939073,0,0,231.6242
-339.7261,-349.2541,358.2747,0.1873788,-0.1022127,-0.496629,0.1,0,77.01126
-341.7395,-341.5864,359.0027,0.2028559,-0.09805167,-0.500985,0.2,0,77.25701
-343.0735,-336.4704,359.4202,0.2140999,-0.09556953,-0.5063201,0.3,0,51.80242
-343.4675,-332.5391,359.559,0.2237146,-0.09489895,-0.5115175,0.4,0,39.13295
-343.466,-328.0246,0.02514384,0.232697,-0.09530828,-0.5165974,0.5,0,44.04586
-343.1774,-324.4211,0.3177798,0.2399227,-0.09577029,-0.5200801,0.6,0,35.42451
-342.3391,-324.6382,0.07745188,0.2412821,-0.09717109,-0.5200005,0.7,0,8.811495
-339,-334.7,358.8097,0.2261888,-0.1025063,-0.5118547,0.8000001,0,102.7221
-335.3333,-356.1456,353.8571,0.191725,-0.1085909,-0.5047179,0.9000001,0,203.723
-336.8418,343.0467,348.8211,0.1566227,-0.1064136,-0.5056627,1,0,193.7485
-339.3112,330.3513,346.4553,0.1309229,-0.1015718,-0.5116587,1.1,0,122.6337
-340.7827,323.4141,345.8192,0.1145235,-0.09702901,-0.5168961,1.2,0,69.05053
-341.9464,319.064,346.1353,0.1048987,-0.09374235,-0.5191442,1.3,0,46.10573
-341.8248,318.6058,346.3282,0.1035244,-0.09410827,-0.5151762,1.4,0,5.637105
-340.1209,323.6744,347.4248,0.1104983,-0.09693667,-0.507042,1.5,0,51.15604
-340.7757,337.1814,351.8841,0.1290908,-0.09473266,-0.4959342,1.6,0,127.4178
-340.7216,350.7667,355.163,0.1495565,-0.09324366,-0.4922537,1.7,0,128.799
-340.1101,-358.404,356.6021,0.1673404,-0.09375472,-0.4906673,1.8,0,104.5282
-339.9364,-348.237,358.0383,0.1823726,-0.09344515,-0.4916741,1.9,0,97.71272
-341.3246,-339.5414,358.9394,0.1965694,-0.09077302,-0.4943933,2,0,85.52808
-342.2976,-330.0185,0.1954221,0.210828,-0.08845036,-0.5017959,2.1,0,92.59386
-342.8242,-323.6033,0.7766968,0.2222134,-0.08698553,-0.5089112,2.2,0,62.87466
-342.8704,-317.8197,0.2919738,0.2345843,-0.08629058,-0.5168248,2.3,0,59.44593
-342.938,-312.1777,0.1738383,0.244452,-0.08615991,-0.5254965,2.4,0,56.78078
-343.3281,-307.4109,0.07475354,0.2513421,-0.08504282,-0.5335556,2.5,0,48.12304
-344.0279,-302.7252,0.237701,0.2553554,-0.08323331,-0.541523,2.6,0,46.95041
-345.2445,-296.8664,0.954057,0.2585285,-0.08149282,-0.5511122,2.7,0,58.38802
-347.74,-292.179,0.9727608,0.2604014,-0.07703946,-0.5615016,2.799999,0,53.05831
-350.952,-287.9241,0.6602263,0.2608441,-0.07145572,-0.5726047,2.899999,0,53.85218
-352.4928,-284.0215,0.7414929,0.2598675,-0.06836385,-0.5838515,2.999999,0,41.85308
-352.2862,-282.4172,0.3787526,0.2586463,-0.06832853,-0.5903183,3.099999,0,17.04055
-351.7877,-281.6048,0.1587027,0.2590899,-0.06927043,-0.5932677,3.199999,0,10.03263
