XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-3.686188,7.131824,3.349212,-0.1449773,-0.101029,-0.04666641,0,0,87.8453
-3.726074,359.9723,3.364985,-0.004577648,0.004659104,-0.005576337,0.1,0,71.58436
-3.788361,0.0184183,3.334558,-0.004573756,0.004746184,-0.005758774,0.2,0,0.6852804
-3.767548,359.9892,3.349048,-0.004537396,0.004912088,-0.00558961,0.3,0,0
-3.698303,359.9284,3.364691,-0.004418448,0.004659432,-0.005048632,0.4,0,0
-3.659943,359.9825,3.276938,-0.004351032,0.004617134,-0.005354824,0.5,0,0
-3.765045,0.02627669,3.256707,-0.004230905,0.004740359,-0.005776734,0.6,0,1.186941
-3.785248,359.9392,3.254804,-0.004105162,0.004956353,-0.005892945,0.7,0,0.7912936
-3.834656,359.9816,3.22023,-0.004012447,0.005121123,-0.005878942,0.8000001,0,0
-3.842346,0.005202598,3.195482,-0.0041278,0.005280125,-0.005865952,0.9000001,0,0
-3.771393,0.01109986,3.191292,-0.003977891,0.005563308,-0.005642272,1,0,0
-3.698303,359.9872,3.148258,-0.00317356,0.005395081,-0.005142107,1.1,0,0.8846932
-3.744904,0.04597509,3.10986,-0.002550758,0.005553002,-0.005040563,1.2,0,0.7912936
-3.887451,-0.00418283,3.100757,-0.002455484,0.005928604,-0.005433539,1.3,0,0
-3.94754,0.0292929,3.088073,-0.002530474,0.006219388,-0.005846381,1.4,0,0
-3.96109,0.02476849,3.07015,-0.002691229,0.005914171,-0.005930133,1.5,0,0
-4.008057,0.04521907,3.112165,-0.003053534,0.005802424,-0.006263709,1.6,0,0
-3.946533,359.9554,3.0944,-0.003567588,0.005443933,-0.006534111,1.7,0,1.046783
-3.922302,0.04814766,3.06308,-0.003782165,0.005233671,-0.006831534,1.8,0,0.7912936
-3.95105,0.01197511,3.003487,-0.003661771,0.00575049,-0.006309853,1.9,0,0
-3.976379,0.05141719,2.974463,-0.00319155,0.006107248,-0.00638703,2,0,0
-4.019226,0.09056585,2.94909,-0.00312145,0.006143807,-0.006473267,2.1,0,0
-4.052948,0.1125001,2.967457,-0.003405534,0.006389453,-0.006543535,2.2,0,0
-4.035797,-0.002363717,3.08773,-0.003703036,0.006507774,-0.006775615,2.3,0,0
-4.091583,359.9755,3.097522,-0.004377149,0.006400194,-0.007105393,2.4,0,0.6852804
-4.216583,359.9717,3.166072,-0.00491583,0.006567446,-0.007631991,2.5,0,0
-4.436462,359.9086,3.218149,-0.004985254,0.006565349,-0.007891146,2.6,0,2.340678
-4.564178,359.9586,3.189405,-0.004645586,0.00694503,-0.008059445,2.7,0,0
-4.629761,0.0182645,3.160145,-0.004496682,0.006834055,-0.00809445,2.799999,0,0.8846932
-4.627411,0.01384766,3.17491,-0.004345164,0.00709807,-0.007899811,2.899999,2,0
-4.824066,0.02123101,3.126467,-0.00395941,0.007630587,-0.007911781,2.999999,0,1.978234
-5.478119,0.1146871,3.05829,-0.003787085,0.008871643,-0.008311576,3.099999,0,6.608614
-6.288879,0.07122347,3.035758,-0.004032131,0.009968985,-0.009677984,3.199999,0,8.108364
-7.379395,0.03171171,3.033674,-0.0040619,0.0119592,-0.01100485,3.299999,0,10.91444
-8.387604,-0.003331211,3.001337,-0.004172723,0.01391439,-0.01298893,3.399999,0,10.10259
-9.198761,0.004377916,2.98611,-0.004078448,0.01568232,-0.01511373,3.499999,0,8.118011
-9.600586,359.9505,2.949654,-0.003920197,0.01703503,-0.01672835,3.599999,0,4.092605
-9.54837,359.8577,2.861531,-0.003567015,0.01653684,-0.01735437,3.699999,0,0
-9.628418,-0.2680359,2.840627,-0.003506071,0.01651103,-0.01757885,3.799999,0,1.582587
-9.879974,-0.4612427,2.768665,-0.003478162,0.01688212,-0.01734685,3.899998,0,3.357176
-10.01572,-0.6174316,2.759347,-0.003280171,0.01691977,-0.01703299,3.999998,0,2.093566
-9.610962,-0.694397,2.803323,-0.003699345,0.0161533,-0.01693806,4.099998,0,4.130676
-9.282166,-0.7609253,2.88926,-0.004275837,0.01554505,-0.01649733,4.199998,0,3.44917
-9.135742,-0.9685669,2.934129,-0.004834998,0.01585516,-0.01624961,4.299998,0,2.533376
-9.048706,-0.9912109,3.059223,-0.004907749,0.01574166,-0.01565022,4.399998,0,0
-8.675476,-0.9817505,3.126538,-0.005304009,0.01540381,-0.01452723,4.499998,0,3.794913
-7.049652,-0.7681274,3.2157,-0.00511745,0.01235866,-0.01257465,4.599998,0,16.43259
-3.586761,-0.1104126,3.414397,-0.004884001,0.006610451,-0.009661354,4.699998,0,35.33822
-1.29837,0.3142397,3.328996,-0.004331608,0.001717744,-0.005532381,4.799998,0,23.28649
0.3472179,0.4908995,3.080411,-0.003641978,-0.001317266,-0.001433276,4.899998,0,16.73465
2.28726,0.6798961,2.748921,-0.003002696,-0.005005566,0.002187498,4.999998,0,19.77467
3.926022,0.7794724,2.26431,-0.001891839,-0.007740797,0.005299788,5.099998,0,17.13217
4.844102,1.001019,1.826596,-0.001465019,-0.009551715,0.006439569,5.199997,0,10.47534
5.215714,1.452773,1.022403,-0.0002345964,-0.01043213,0.00752889,5.299997,0,10.24874
5.729215,1.888008,0.4480062,0.001446801,-0.01087522,0.008248154,5.399997,0,9.108498
5.969357,2.492932,0.1403433,0.002565753,-0.01104089,0.008119795,5.499997,0,7.45457
5.857587,3.083276,-360.0005,0.004040358,-0.01042161,0.008347183,5.599997,0,6.317981
5.851756,3.469305,-0.09625244,0.005085669,-0.01031107,0.00832144,5.699997,0,4.073435
5.76296,3.786661,-0.1217041,0.005356544,-0.01004612,0.007691348,5.799997,0,3.31022
5.341291,4.032966,-0.04653931,0.005711178,-0.008989169,0.007519732,5.899997,0,4.877865
4.929154,4.186695,-360.0016,0.0059971,-0.008207692,0.006990506,5.999997,0,4.387938
4.786734,4.39474,-0.05111694,0.006265837,-0.007948666,0.006171231,6.099997,0,2.59443
4.631202,4.745372,-359.9982,0.006875377,-0.008046855,0.00556757,6.199996,0,3.83594
4.24495,5.017515,0.2679402,0.007360164,-0.007527986,0.005334743,6.299996,0,5.308164
3.546856,5.465526,0.7476745,0.007330358,-0.006322904,0.005067158,6.399996,0,9.412763
2.740446,6.02724,0.8941435,0.008062813,-0.004777857,0.0047884,6.499996,0,9.875363
2.01003,6.422881,0.9352022,0.008529749,-0.003409113,0.004143161,6.599996,0,8.299175
1.131895,6.580472,0.9971172,0.008296117,-0.002302533,0.002149293,6.699996,0,8.934986
0.5733737,6.584323,1.095599,0.007546379,-0.001440185,0.0002810515,6.799996,0,5.678606
0.1053264,6.312918,1.250164,0.00663755,-0.001037239,-0.0006855525,6.899996,0,5.637105
-0.06802368,5.846876,1.253045,0.005648743,-0.001034732,-0.0007068877,6.999996,0,4.973207
-0.2720947,5.27478,1.2389,0.004892107,-0.0006653258,-0.0002922693,7.099996,0,6.090912
-0.486084,5.150672,1.308683,0.004877698,0.000275739,-0.0002907112,7.199996,0,2.59443
-0.6634521,5.056826,1.416413,0.004692285,0.001039836,-0.0003295855,7.299995,0,2.306998
-0.6827087,4.959709,1.410429,0.003900654,0.000740018,-0.0009609869,7.399995,0,0
-0.9779663,4.794802,1.504089,0.003693211,0.00127371,-0.001837044,7.499995,0,3.538774
-1.167267,4.424157,1.535566,0.002903222,0.001722382,-0.00215705,7.599995,0,4.149581
-1.13147,4.075313,1.585705,0.002299937,0.001712005,-0.002087582,7.699995,0,3.494259
-0.9722595,3.545372,1.617399,0.001328086,0.001343239,-0.001823675,7.799995,0,5.539061
-1.117676,2.503012,1.750012,1.811981E-05,0.001281395,-0.0008974731,7.899995,0,10.57943
-0.9201965,0.8826723,1.876189,-0.002211531,0.001099164,-0.0004762804,7.999995,0,16.35141
-0.759613,-0.3848572,2.206345,-0.004117996,0.0006009409,-0.0002338919,8.099995,0,13.16388
-0.4559021,-1.224335,2.549549,-0.006074649,3.676373E-05,-0.0003927707,8.199995,0,9.544879
-0.2841492,-1.737854,2.871066,-0.008177798,8.520205E-05,-0.0003385161,8.299995,0,6.280706
-0.2668457,-2.25,3.200414,-0.01016742,-0.0002621814,-0.0003554423,8.399996,0,6.078049
-0.2406006,-2.614868,3.453718,-0.01136596,-0.0002312547,-9.565346E-05,8.499996,0,4.441127
-0.3074341,-2.748901,3.538306,-0.01176949,-0.0001175334,2.528017E-05,8.599997,0,1.724585
-0.620575,-2.847748,3.620223,-0.01124324,0.0006127481,0.0002006046,8.699997,0,3.380409
-0.8087158,-2.975677,3.625883,-0.01104097,0.001115624,5.267607E-05,8.799997,0,2.272818
-0.9891052,-2.859711,3.591077,-0.0110196,0.001307664,-0.0003979167,8.899998,0,2.202868
-1.05304,-2.73291,3.583897,-0.01111928,0.001416387,-0.000813127,8.999998,0,0
-1.047882,-2.745972,3.623459,-0.01129731,0.001120615,-0.001136427,9.099998,0,0
-1.059113,-2.613037,3.551234,-0.01085248,0.001372366,-0.0012303,9.199999,0,0
-1.009521,-2.542023,3.534775,-0.01058852,0.001157958,-0.001120699,9.299999,0,0
-0.9716187,-2.649628,3.547691,-0.01037867,0.001133341,-0.0005272574,9.4,0,0
-0.7317505,-2.640778,3.551425,-0.01065496,0.0006938952,-0.0006257797,9.5,0,2.470814
-0.4269714,-2.774536,3.582653,-0.01102053,-2.040039E-05,-7.634726E-05,9.6,0,3.380409
-0.2178955,-2.888885,3.647669,-0.01139236,-0.0004936073,0.0003286481,9.700001,0,2.406626
