XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-11.65109,-4.198975,-2.814911,-0.2188122,-0.07203736,-0.08011106,0,0,127.9118
-11.57187,-359.9719,-2.842957,0.003443103,0.01452556,-0.01698,0.1,0,42.22367
-11.60956,-359.9592,-2.858032,0.003467962,0.01459778,-0.01690128,0.2,0,0
-11.59085,-359.9272,-2.871552,0.003658808,0.01457262,-0.01660167,0.3,0,0
-11.46109,-359.838,-3.012756,0.004062261,0.01437879,-0.01634789,0.4,0,1.938266
-11.39621,-359.7183,-3.106323,0.004904296,0.01436979,-0.01591847,0.5,0,0
-11.30087,-359.6931,-3.114319,0.005075563,0.01418054,-0.01584343,0.6,0,0
-11.28186,-359.7083,-3.105438,0.005185026,0.01435306,-0.01572679,0.7,0,0
-11.3132,-359.6965,-3.106354,0.005222209,0.01434128,-0.0156867,0.8000001,0,0
-11.3414,0.3893159,-3.092651,0.005184431,0.01435947,-0.01582862,0.9000001,0,1.046783
-11.37851,0.4305909,-3.091766,0.005089228,0.01432425,-0.01599956,1,0,0
-11.41354,0.4235181,-3.042053,0.00493307,0.01436348,-0.01606207,1.1,0,0
-11.4039,0.36812,-3.005859,0.004930407,0.01431428,-0.01602775,1.2,0,0
-11.29355,0.4321075,-3.053162,0.005023781,0.01411473,-0.01599387,1.3,0,0
-11.26233,0.4191543,-3.039825,0.005048301,0.01420629,-0.01599903,1.4,0,0
-11.29044,0.3654069,-2.995331,0.004977404,0.01429088,-0.0159069,1.5,0,0
-11.2789,0.4024501,-3.014526,0.004878543,0.0142222,-0.01596206,1.6,0,0
-11.23981,0.3919119,-3.047241,0.004831094,0.01418148,-0.01617515,1.7,0,0
-11.30209,0.3511579,-3.016846,0.00473753,0.01420712,-0.01614295,1.8,0,0
-11.22327,0.2960382,-3.006989,0.004725891,0.01422916,-0.01605683,1.9,0,0
-11.18842,0.3089103,-3.073303,0.004781552,0.01405932,-0.01604074,2,2,0
-11.2052,-359.7143,-3.081421,0.004800704,0.01404098,-0.01608364,2.1,0,0.3956468
-11.23514,-359.7313,-3.074127,0.004781612,0.01415324,-0.0161969,2.2,0,0
-11.1582,-359.7415,-3.098938,0.004805272,0.01414291,-0.01630068,2.3,0,0
-11.19974,-359.773,-3.10025,0.0046244,0.01418382,-0.016507,2.4,0,0
-11.37491,-359.7736,-3.060455,0.004636557,0.01432491,-0.01673225,2.5,0,1.813082
-11.42078,-359.7317,-3.085144,0.004733213,0.01442823,-0.01718812,2.6,0,0
-11.50711,0.3160063,-3.108093,0.004871178,0.01461691,-0.01772742,2.7,0,1.119058
-11.63898,0.3400197,-3.094818,0.004989111,0.01473866,-0.01783438,2.799999,0,0
-11.46814,0.428237,-3.128571,0.005359568,0.01452148,-0.01764109,2.899999,0,1.897456
-11.37021,0.4138149,-3.13797,0.00529468,0.01438268,-0.01724708,2.999999,0,0
-11.34387,0.3115536,-3.063354,0.004981253,0.01430395,-0.01694888,3.099999,0,0
-11.25677,-359.7204,-3.029449,0.004981745,0.01418834,-0.01654029,3.199999,0,1.119058
-11.16794,-359.7565,-3.036652,0.004751702,0.01407145,-0.01632482,3.299999,0,0
-11.2244,-359.7652,-2.985504,0.004564315,0.01414364,-0.0163493,3.399999,0,0
-11.24426,-359.7956,-2.941376,0.00450249,0.01422012,-0.0165233,3.499999,0,0
-11.22177,-359.7526,-2.942535,0.0045856,0.01407098,-0.01648675,3.599999,0,0
-11.27374,-359.7445,-2.853302,0.00459556,0.01409994,-0.01657681,3.699999,0,0
