XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-348.6726,358.3352,353.638,0.08187295,-0.02688208,0.121355,0,0,130.1222
-348.8372,359.2069,353.7275,0.007134871,-0.01747122,0.0132734,0.1,0,8.740145
-349.0355,356.781,353.8809,0.003582272,-0.0173338,0.01342264,0.2,0,24.68008
-349.3354,352.8867,354.2807,-0.002047039,-0.01739354,0.01331672,0.3,0,39.99956
-349.6088,349.1525,354.7079,-0.007268238,-0.017351,0.01251715,0.4,0,38.45086
-349.8984,345.2496,355.004,-0.01191751,-0.0167098,0.01093814,0.5,0,39.76794
-350.1293,341.6625,355.349,-0.01366466,-0.01472952,0.009876611,0.6,0,36.69874
-350.6837,338.3915,355.7957,-0.01326437,-0.01293477,0.009845993,0.7,0,34.19669
-350.6656,334.776,355.5739,-0.01166096,-0.0127971,0.009759705,0.8000001,0,35.86374
-349.8542,330.7158,354.843,-0.008986407,-0.01286362,0.009013392,0.9000001,0,40.83437
-350.197,326.7035,354.8626,-0.007178477,-0.01142181,0.008537177,1,0,40.30177
-350.1851,322.0712,354.804,-0.006740976,-0.01165077,0.00723483,1.1,0,46.22613
-350.1255,318.0358,354.7777,-0.005961565,-0.01160849,0.004742032,1.2,0,40.31342
-350.6577,313.4611,354.9188,-0.005155832,-0.01052488,0.0001607519,1.3,0,46.30735
9.042585,-50.68402,-4.881561,-0.004288839,-0.00995086,-0.005124003,1.4,0,41.9241
8.637056,-54.5885,-4.485748,-0.003016733,-0.008846072,-0.01052884,1.5,0,40.05236
7.959834,-59.04352,355.9336,-0.001483903,-0.007823735,-0.01577078,1.6,0,45.84861
7.441777,-63.57397,356.2803,0.0003790027,-0.006594221,-0.02053651,1.7,0,46.18885
6.951068,-68.19495,356.5062,0.002379285,-0.006222319,-0.02480582,1.8,0,46.80511
6.936892,-71.85638,356.5685,0.004481825,-0.006135637,-0.0279831,1.9,0,36.69661
6.84541,-74.70117,356.812,0.006619308,-0.005999217,-0.0307099,2,0,28.85858
6.671873,-78.28339,357.1433,0.009602644,-0.005778528,-0.03398962,2.1,0,36.40319
5.971713,-81.88513,357.3627,0.01317409,-0.005093958,-0.03651618,2.2,0,36.99194
5.578469,-85.4487,357.0744,0.01739748,-0.004733284,-0.03860828,2.3,0,35.67773
5.254287,-88.10236,356.9959,0.02091763,-0.00400521,-0.04013149,2.4,0,26.6679
4.80404,-90.55215,357.0204,0.02393096,-0.00340928,-0.04071329,2.5,0,24.9231
4.719131,-92.07135,356.7702,0.02644828,-0.003347385,-0.04068887,2.6,0,15.21066
4.75623,-92.25403,356.5468,0.02802025,-0.003244426,-0.03940016,2.7,0,2.769528
4.532849,-91.65118,356.416,0.02927902,-0.002664251,-0.03724726,2.799999,0,6.644049
4.318299,-90.40015,356.1984,0.02994204,-0.002211995,-0.03516611,2.899999,0,13.03842
2.549286,-86.71759,-3.270752,0.0308523,3.047579E-05,-0.03051874,2.999999,0,40.91098
358.815,-79.91629,-2.436249,0.03299437,0.004652904,-0.02271503,3.099999,0,77.94037
-6.401886,-70.25497,-1.801605,0.03659905,0.01086738,-0.01158915,3.199999,0,110.3202
-10.60333,-59.26419,-1.407013,0.04089636,0.01621621,-0.001424313,3.299999,0,118.2509
-13.97345,-49.93106,-1.508789,0.0463358,0.01979627,0.005337624,3.399999,0,99.01844
343.9999,317.2542,357.3403,0.05162273,0.02217628,0.008856572,3.499999,0,72.64758
342.3177,322.4302,356.9498,0.05453837,0.02379409,0.01080772,3.599999,0,53.48161
341.1899,325.4542,357.0621,0.05601258,0.02470104,0.01139295,3.699999,0,32.62458
340.0348,328.9234,357.1437,0.05782281,0.02600572,0.01113632,3.799999,0,36.83076
339.7817,331.8543,356.8697,0.05883466,0.02651863,0.01054564,3.899998,0,28.597
339.8213,334.6031,356.8046,0.06010585,0.02640386,0.009587338,3.999998,0,27.26872
339.4635,337.1017,356.6072,0.06145057,0.02640038,0.008445669,4.099998,0,24.62611
339.2771,339.4814,356.4023,0.06276864,0.02645916,0.007802187,4.199998,0,23.22928
339.1483,342.2227,356.1221,0.06439091,0.02669353,0.006879267,4.299998,0,26.57676
338.8932,344.9709,356.1167,0.06595141,0.02671975,0.006027488,4.399998,0,27.57983
338.6394,347.6152,356.167,0.0670962,0.02663715,0.004817031,4.499998,0,26.75289
338.4775,350.5061,355.9442,0.06786644,0.02612578,0.002805715,4.599998,0,28.21674
338.1672,353.0944,355.8323,0.06757866,0.02607579,-0.0004429361,4.699998,0,25.67494
337.398,355.5244,355.9617,0.0658787,0.0264631,-0.00360068,4.799998,0,25.98103
336.6335,358.7567,356.1559,0.06363561,0.02682964,-0.006584018,4.899998,0,33.99926
336.1085,-358.3161,356.0252,0.06141388,0.02798655,-0.008619394,4.999998,0,29.24656
335.2549,-353.9872,355.9109,0.05985333,0.02999858,-0.01002251,5.099998,0,43.6746
335.0443,-348.8107,355.3133,0.05955351,0.02968354,-0.009631157,5.199997,0,49.59722
336.089,-344.3814,354.8569,0.05868443,0.02810146,-0.009080457,5.299997,0,43.86776
337.5878,-340.4771,354.6337,0.0577217,0.02672641,-0.009062743,5.399997,0,41.05234
338.4488,-336.6595,354.7283,0.05573268,0.02558163,-0.009165326,5.499997,0,39.48941
339.0089,-333.1267,354.9092,0.05417711,0.02511897,-0.009651983,5.599997,0,36.45691
339.2097,-329.8973,-4.928894,0.05257329,0.02496301,-0.00985331,5.699997,0,32.9659
339.5877,-326.8137,-4.486298,0.05080784,0.0245793,-0.009444809,5.799997,0,32.87317
339.9261,-323.846,-4.241058,0.049797,0.02454089,-0.009694956,5.899997,0,30.79537
340.5044,-320.2097,-4.256042,0.0497338,0.02390402,-0.01101154,5.999997,0,36.76694
340.5368,-317.1032,-4.733734,0.04944516,0.02412983,-0.01270888,6.099997,0,29.81382
340.6585,-314.4493,-4.8508,0.04907988,0.02419122,-0.01452957,6.199996,0,26.20004
340.8478,-311.19,-5.052124,0.04784412,0.02474607,-0.01745712,6.299996,0,32.04355
340.3804,-307.3846,-5.199341,0.04544613,0.02583489,-0.0208509,6.399996,0,37.87858
340.0627,-304.2415,-5.643768,0.04281307,0.02633341,-0.02358146,6.499996,0,30.38337
340.6227,-301.2875,-6.249023,0.04144492,0.02573575,-0.0257061,6.599996,0,28.63803
342.1261,-297.5648,-7.195862,0.04309236,0.02352957,-0.02862702,6.699996,0,38.42031
343.594,-292.9486,-8.855591,0.04679509,0.02142757,-0.03333228,6.799996,0,46.58379
345.2813,-288.6249,-10.0499,0.05088785,0.01928701,-0.03778791,6.899996,0,44.94146
347.0591,-285.4094,349.2395,0.05336158,0.01635797,-0.03972547,6.999996,0,35.93352
348.9028,-282.4962,348.9655,0.05370199,0.01379043,-0.04092638,7.099996,0,34.09812
349.4454,-279.8736,349.2191,0.05207286,0.01283224,-0.04127752,7.199996,0,27.36042
349.8766,-277.7562,349.5612,0.04966176,0.01212306,-0.04058684,7.299995,0,22.46181
350.0816,-275.9228,349.7112,0.0472423,0.01163421,-0.04010016,7.399995,0,18.76322
350.1462,-273.7315,349.8858,0.04416944,0.01141186,-0.03954159,7.499995,0,22.29041
