XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-12.43704,-1.352081,-4.359833,-0.07617315,-0.05982141,-0.255811,0,0,132.9335
-12.01062,-1.813965,-4.046448,-0.07798146,-0.06129896,-0.2545984,0.1,0,6.572988
-11.59772,-2.43335,-3.766724,-0.07962726,-0.06354028,-0.2540635,0.2,0,7.49645
-11.01041,-2.804321,-4.104889,-0.08045483,-0.06591155,-0.2538185,0.3,0,8.050239
-10.2742,-2.54306,-4.489532,-0.08047237,-0.06763065,-0.2535522,0.4,0,8.494917
-10.08612,-2.061554,-4.533447,-0.08067968,-0.06775592,-0.2525593,0.5,0,5.112888
-9.955078,-2.209351,-4.443787,-0.08153065,-0.0680136,-0.2521743,0.6,0,2.017411
-10.03729,-2.376129,-4.350677,-0.08220603,-0.06806853,-0.2527596,0.7,0,1.938266
-10.30054,-2.021179,-4.202118,-0.08168315,-0.0676823,-0.2535605,0.8000001,0,4.877865
-10.33185,-1.787628,-4.552216,-0.08063399,-0.06787768,-0.2546877,0.9000001,0,3.876533
-10.54559,-1.869019,-4.982208,-0.07977509,-0.0679606,-0.2557814,1,0,5.035766
-11.09775,-1.886932,-5.161987,-0.07895333,-0.06698102,-0.2568053,1.1,0,5.841661
-11.35046,-2.111786,-4.973999,-0.07898884,-0.06668405,-0.2575437,1.2,0,3.669079
-11.5032,-2.398285,-4.75882,-0.07998119,-0.06661314,-0.2580642,1.3,0,3.582736
-11.71777,-2.42926,-4.520996,-0.08091263,-0.06640445,-0.2583995,1.4,0,3.189808
-11.9277,-2.217133,-4.515289,-0.08111953,-0.0660109,-0.2586056,1.5,0,3.013157
-11.95358,-1.836334,-4.434631,-0.08064614,-0.06604314,-0.2587624,1.6,0,4.054175
-11.92883,-1.518555,-4.427307,-0.0797478,-0.06616834,-0.2586958,1.7,0,3.165176
-12.01181,-1.167969,-4.3974,-0.07867289,-0.06593427,-0.2585485,1.8,0,3.647685
-12.03897,-0.7811279,-4.606415,-0.07786994,-0.06601468,-0.2585537,1.9,2,4.015379
-11.98981,-0.7698364,-4.666412,-0.0779078,-0.06608392,-0.2585688,2,0,0
-12.06119,-0.8635559,-4.621552,-0.07816707,-0.06606656,-0.2584563,2.1,0,0
-12.06491,-0.8948669,-4.452179,-0.07844411,-0.06597395,-0.2583769,2.2,0,1.678587
-12.11188,-0.9916077,-4.3974,-0.0786392,-0.06600784,-0.2581463,2.3,0,0
-12.02408,-0.954071,-4.308899,-0.07871071,-0.06607483,-0.2579737,2.4,0,0
-12.08533,-1.079987,-4.243469,-0.0791332,-0.06606016,-0.2580145,2.5,0,0
-12.11465,-1.146423,-4.148865,-0.07963654,-0.06595768,-0.258103,2.6,1,0
-12.11053,-1.141724,-4.059448,-0.0797687,-0.06597342,-0.258174,2.7,0,0
-12.15329,-1.115143,-4.144562,-0.07972452,-0.06579355,-0.2580617,2.799999,0,0
-12.23334,-0.9874878,-4.097748,-0.079406,-0.06595777,-0.2580808,2.899999,0,1.678587
-12.3512,-0.6631775,-4.176178,-0.07869978,-0.06558611,-0.2581142,2.999999,0,3.380409
-12.45856,-0.3871155,-4.230774,-0.0780096,-0.06539298,-0.2583575,3.099999,0,2.85305
-12.51453,-0.3192139,-4.280792,-0.07794852,-0.06541875,-0.2584592,3.199999,0,0
-12.4678,-0.4147034,-4.229767,-0.07816431,-0.06550185,-0.2586466,3.299999,0,0
-12.45425,-0.5236511,-4.058838,-0.0785471,-0.06562352,-0.2584361,3.399999,0,1.769387
-12.41168,-0.5544434,-4.049408,-0.07869399,-0.06541529,-0.2583833,3.499999,0,0
-12.43631,-0.572052,-3.968262,-0.07877579,-0.06567275,-0.2582723,3.599999,0,0
-12.46823,-0.6536255,-3.897308,-0.07891107,-0.06553351,-0.2582851,3.699999,0,0
