XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-4.647858,2.611956,-0.3624878,0.2096693,0.01746021,0.03617654,0,0,53.36143
-4.593964,-0.1970825,-0.3320923,0.0004511513,0.006210683,-0.006772175,0.1,0,28.06933
-4.64209,-0.0295105,-0.5286255,0.0008381708,0.006361336,-0.006894331,0.2,0,2.533376
-4.475159,-0.2932434,-0.5603943,-9.884685E-05,0.006162403,-0.007264446,0.3,0,3.189808
-2.988831,-0.855011,-0.4745483,-0.002384297,0.00361003,-0.006971806,0.4,0,15.89509
-0.1245728,-1.998779,-0.3184204,-0.006667786,-0.00101409,-0.004323932,0.5,0,30.86646
2.352556,-4.215363,0.004462587,-0.0136354,-0.004921436,-0.0006342076,0.6,0,33.43744
4.377079,-6.912903,0.797536,-0.02291705,-0.008670768,0.003623416,0.7,0,35.00437
4.309076,-9.126892,1.711931,-0.03244705,-0.009247857,0.006317623,0.8000001,0,24.59112
4.812165,-10.30518,2.155713,-0.03945212,-0.00926305,0.006815878,0.9000001,0,13.85337
1.290941,-10.89975,2.213596,-0.04421476,-0.004103415,0.005535075,1,0,35.72158
-2.629395,-11.43372,2.673085,-0.0487413,0.001944154,0.001102871,1.1,0,39.82499
-4.363586,-10.93182,2.838395,-0.05065627,0.004721352,-0.001353371,1.2,0,18.15258
-3.327148,-10.51038,3.102439,-0.05289288,0.003277592,-0.002296017,1.3,0,11.5486
-2.720093,-10.57877,3.055129,-0.05732028,0.002190337,-0.00215702,1.4,0,6.116559
-1.621735,-10.47467,3.169225,-0.06468131,0.001266449,-0.002328426,1.5,0,11.09933
-0.8213806,-10.33475,3.164672,-0.07577358,0.0007002375,-0.002859302,1.6,0,8.137271
-0.4615173,-10.15619,2.883256,-0.08739045,0.0002755849,-0.003421405,1.7,0,4.893884
0.3944641,-9.543915,2.480985,-0.0995968,-0.001045962,-0.003636886,1.8,0,11.26035
2.447038,-8.30307,2.255808,-0.1070528,-0.004255276,-0.004454953,1.9,0,24.11868
3.137985,-6.423615,1.932337,-0.1081896,-0.005399975,-0.005708936,2,0,20.42883
3.273912,-4.502747,2.162408,-0.1054366,-0.005435386,-0.007861516,2.1,0,19.2573
3.120394,-1.823608,1.975243,-0.0956304,-0.004487068,-0.01218196,2.2,0,27.00044
5.040362,1.181991,2.006825,-0.0824106,-0.006979716,-0.01564282,2.3,0,35.6448
5.603484,4.0357,1.399853,-0.06878193,-0.00781556,-0.01875718,2.4,0,30.25169
5.235787,6.118583,1.27251,-0.05911166,-0.00637391,-0.02215145,2.5,0,21.30287
5.496858,7.401217,1.03657,-0.05325403,-0.006176212,-0.02523296,2.6,0,13.50433
6.97675,7.88,-0.4034424,-0.04824864,-0.007809792,-0.02780813,2.7,0,21.55127
7.068585,9.273197,-1.588562,-0.04246627,-0.00758364,-0.03141708,2.799999,0,19.38693
6.528623,10.82037,-2.87262,-0.03574456,-0.006038947,-0.03734356,2.899999,0,21.92217
7.173207,15.41452,-5.36322,-0.02031381,-0.007798224,-0.0436297,2.999999,0,55.18069
8.748749,19.89025,-7.134003,-0.006400068,-0.010928,-0.04853903,3.099999,0,52.76532
9.030127,19.15016,-7.689758,-0.0008572526,-0.01190759,-0.0500068,3.199999,0,8.987391
8.56292,18.75781,-8.216766,0.003206206,-0.01142632,-0.05066735,3.299999,0,7.641223
9.027044,18.02269,-8.066498,0.004632561,-0.01197026,-0.04959275,3.399999,0,8.996096
9.475602,17.0572,-8.346344,0.0050849,-0.01297379,-0.04746355,3.499999,0,10.6016
9.951655,16.62889,-8.477814,0.004976326,-0.01376187,-0.04583203,3.599999,0,6.379622
10.30063,16.6267,-8.40332,0.003793656,-0.01431758,-0.04478541,3.699999,0,3.560823
10.05536,16.71723,-8.391998,0.002001815,-0.01385604,-0.04482394,3.799999,0,2.59443
8.917666,17.46126,-7.409119,0.0001957044,-0.01153498,-0.04616453,3.899998,0,16.04213
7.56083,14.53923,-5.842926,-0.009111121,-0.008455247,-0.04515683,3.999998,0,37.61103
6.000278,11.0015,-5.691986,-0.01845853,-0.005811047,-0.04485815,4.099998,0,38.85793
