XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
6.271727,1.882488,3.173312,-0.1173356,-0.1345642,-0.3339616,0,0,72.30718
6.715098,4.380793,2.66117,-0.1114175,-0.1352653,-0.3339477,0.1,0,26.44389
7.079356,7.339237,1.976588,-0.1046713,-0.1358318,-0.3346607,0.2,0,31.36707
7.501828,10.47773,1.294449,-0.09723084,-0.1365118,-0.3353833,0.3,0,33.22136
7.882261,13.50066,-359.439,-0.08989235,-0.1372908,-0.3360569,0.4,0,32.26994
8.067791,16.08569,-359.87,-0.08411438,-0.1369017,-0.3369528,0.5,0,26.85218
8.007675,17.61612,-0.1825867,-0.08035882,-0.1371444,-0.3377575,0.6,0,16.05676
7.813668,18.28957,-0.3436584,-0.07875525,-0.1369107,-0.3389749,0.7,0,7.391305
7.596786,17.99698,-0.4327698,-0.07957523,-0.1366557,-0.3393844,0.8000001,0,3.647685
7.577955,17.48017,-0.2705688,-0.08102061,-0.1365438,-0.3392019,0.9000001,0,5.623203
7.516088,17.03455,-0.06680298,-0.08245284,-0.1365072,-0.3386623,1,0,5.188864
7.433603,16.88814,-359.8127,-0.08337072,-0.1366471,-0.3376721,1.1,0,3.189808
7.4182,16.98632,-359.7429,-0.08349247,-0.1366911,-0.3377905,1.2,0,0
7.355345,17.19984,-359.7943,-0.08286531,-0.1365214,-0.3380359,1.3,0,2.306998
7.240439,17.34529,-359.8627,-0.08238398,-0.1363553,-0.3384917,1.4,0,2.055841
7.086192,17.38838,-359.9223,-0.08194707,-0.1359163,-0.3387869,1.5,0,1.769387
6.759595,17.75989,-359.8877,-0.08149355,-0.1352759,-0.3390123,1.6,0,4.925767
6.571805,18.5768,-359.7191,-0.08064006,-0.1347311,-0.3397843,1.7,0,8.346197
6.380902,18.8096,-359.735,-0.08062303,-0.1343989,-0.3403193,1.8,0,2.987069
6.087788,18.79771,-359.7102,-0.08056933,-0.133961,-0.340824,1.9,0,2.907399
5.750422,19.75622,-359.7829,-0.07906856,-0.1331299,-0.3414357,2,0,10.25637
5.381501,22.19206,-359.8115,-0.07587604,-0.1324142,-0.3428274,2.1,0,24.66422
4.975564,26.95678,-359.7986,-0.07068425,-0.1318164,-0.3459203,2.2,0,47.80965
4.482185,33.44838,-359.9297,-0.06519169,-0.1314038,-0.3507646,2.3,0,65.22335
4.063567,40.12617,-0.3197021,-0.06110305,-0.1311169,-0.356099,2.4,0,67.30919
3.614204,46.14482,-0.7150269,-0.05933712,-0.1306811,-0.3618801,2.5,0,60.7476
2.873748,51.38713,-0.949585,-0.05979528,-0.1295606,-0.3669424,2.6,0,53.12615
1.936734,55.67475,-1.162201,-0.06161754,-0.1282583,-0.3706465,2.7,0,44.02452
-359.5013,59.47309,-1.253204,-0.06456684,-0.125888,-0.3742352,2.799999,0,40.6422
-0.9357605,62.39433,-1.4776,-0.06821451,-0.1234871,-0.3779514,2.899999,0,32.61258
-1.97168,65.23884,-2.169037,-0.07165932,-0.1218999,-0.3819329,2.999999,0,30.88927
-2.615234,68.20243,-2.951141,-0.07438329,-0.1206708,-0.38615,3.099999,0,31.02077
-2.829163,71.01517,-3.647644,-0.07704908,-0.1201985,-0.3894154,3.199999,0,28.73081
-2.760315,73.23135,-4.145935,-0.0796782,-0.1200842,-0.3912558,3.299999,0,22.48271
-2.531494,75.57072,-4.564392,-0.08236501,-0.1202399,-0.3927217,3.399999,0,23.67981
-2.135529,78.16034,-5.13028,-0.08457371,-0.1208398,-0.3944485,3.499999,0,26.57381
-1.647888,80.75352,-5.602966,-0.0869607,-0.1218285,-0.3959135,3.599999,0,26.65616
-1.252686,82.9855,-5.9888,-0.08951971,-0.1222687,-0.396864,3.699999,0,22.9001
-0.5927429,84.69601,-6.373779,-0.09255381,-0.1212878,-0.3967101,3.799999,0,18.68379
-0.1689758,85.87618,-6.62204,-0.09498449,-0.1185501,-0.3933019,3.899998,0,12.77155
-359.699,86.86948,-6.040558,-0.09635055,-0.1183255,-0.3875482,3.999998,0,12.42362
-358.3304,87.54181,-4.480743,-0.09670015,-0.1196826,-0.3797571,4.099998,0,21.7249
3.673854,89.47628,-2.648651,-0.09636401,-0.1226204,-0.3734399,4.199998,0,32.83743
5.872996,91.33615,-0.7282104,-0.09494735,-0.1263106,-0.3666198,4.299998,0,33.74504
8.014786,93.72424,-359.7717,-0.09180667,-0.1279266,-0.3606968,4.399998,0,32.63897
9.867988,96.34736,-359.086,-0.08702347,-0.1287776,-0.3527193,4.499998,0,31.97753
11.79457,96.27274,-357.8193,-0.08297878,-0.1328858,-0.3407363,4.599998,0,23.14827
14.45417,95.22622,-356.4559,-0.08125266,-0.1392623,-0.3299558,4.699998,0,32.67253
16.7091,94.41749,-355.0299,-0.07998358,-0.1444056,-0.321867,4.799998,0,28.96417
18.73007,92.25669,-354.1634,-0.07713825,-0.1489392,-0.3142957,4.899998,0,32.62458
20.27857,87.84709,-353.9967,-0.07353915,-0.1515314,-0.3045018,4.999998,0,47.2877
21.77421,77.87218,-355.2067,-0.07321288,-0.154317,-0.2878819,5.099998,0,97.2263
22.90852,61.76701,-359.2642,-0.08183557,-0.1555184,-0.2649829,5.199997,0,150.7796
21.41549,44.54815,-3.803802,-0.09788518,-0.152642,-0.2442677,5.299997,0,161.3072
18.87537,31.93787,-5.33139,-0.1167527,-0.1481011,-0.2293773,5.399997,0,124.2984
17.26733,22.96633,-4.78949,-0.1352224,-0.1450732,-0.2192304,5.499997,0,92.94101
16.52768,17.58833,-2.727295,-0.1521561,-0.144338,-0.2104976,5.599997,0,63.37706
16.52106,14.00137,-359.9812,-0.1671175,-0.1448504,-0.2030054,5.699997,0,50.99816
16.87328,11.27713,2.345454,-0.1789372,-0.1456689,-0.1959131,5.799997,0,40.74224
17.50948,10.06648,4.0322,-0.1858831,-0.1471378,-0.1893087,5.899997,0,24.33193
18.22686,9.424768,5.328854,-0.1903639,-0.1494166,-0.1839789,5.999997,0,17.65418
18.88913,9.080129,6.257643,-0.1938955,-0.1514023,-0.1797961,6.099997,0,12.74702
19.3314,8.539678,7.111486,-0.1973412,-0.152818,-0.1737629,6.199996,0,12.32876
20.13249,7.28054,8.222632,-0.2010709,-0.1551312,-0.1659777,6.299996,0,20.99569
21.60138,3.757171,8.129778,-0.206204,-0.1598468,-0.1567647,6.399996,0,37.87651
24.33074,-0.5717163,6.366036,-0.2105971,-0.1673751,-0.1460837,6.499996,0,48.30491
27.18385,-4.263275,4.058512,-0.2136299,-0.1744687,-0.1337686,6.599996,0,44.36288
29.14073,-8.306244,2.016284,-0.2161053,-0.1795079,-0.1202337,6.699996,0,40.67878
30.4644,-11.3631,0.7555795,-0.2195057,-0.1843907,-0.1092997,6.799996,0,29.756
31.78448,-13.63458,359.8034,-0.2250246,-0.189305,-0.1034142,6.899996,0,23.60366
32.8736,-15.60199,359.7139,-0.231425,-0.1927141,-0.1031056,6.999996,0,22.07871
33.08296,-16.78012,0.3076217,-0.236798,-0.1930218,-0.1063749,7.099996,0,15.94916
31.21433,-15.77621,1.081348,-0.2382482,-0.1900165,-0.1123699,7.199996,0,20.66502
29.8388,-16.31195,1.697178,-0.2435223,-0.1880354,-0.1216008,7.299995,0,17.00837
30.74433,-18.69751,2.373437,-0.2504351,-0.1892021,-0.1287142,7.399995,0,29.32141
31.43447,-20.32263,3.16664,-0.256889,-0.1908225,-0.1337428,7.499995,0,22.54529
32.19287,-23.04175,3.05301,-0.2635725,-0.1932358,-0.1402779,7.599995,0,27.6705
32.43284,-26.13779,3.121258,-0.2724354,-0.1948411,-0.150528,7.699995,0,31.41943
33.25586,-30.01947,3.730923,-0.2826484,-0.1974995,-0.1651998,7.799995,0,43.22415
34.33531,-33.72177,4.218525,-0.2908771,-0.2005312,-0.1805407,7.899995,0,41.37526
34.22038,-38.67932,4.317701,-0.2976998,-0.2007568,-0.2008543,7.999995,0,50.15448
33.35748,-42.34344,4.615812,-0.2990155,-0.1975742,-0.2171618,8.099995,0,39.34045
32.61164,-46.6637,3.923953,-0.2972068,-0.1951747,-0.23232,8.199995,0,40.5535
32.6214,-50.74976,3.297994,-0.294557,-0.1946843,-0.2482149,8.299995,0,37.85584
32.24969,-53.99188,3.28583,-0.2931172,-0.1939587,-0.2643097,8.399996,0,32.57175
32.06321,-57.51538,3.490404,-0.2923548,-0.1937362,-0.2814181,8.499996,0,36.41394
31.85721,-61.19583,3.865937,-0.2909149,-0.1929718,-0.297942,8.599997,0,38.9746
31.78513,-65.30347,3.805256,-0.2873666,-0.1923962,-0.3127304,8.699997,0,40.76529
-328.4254,290.5113,-356.4057,-0.2822137,-0.191728,-0.3277611,8.799997,0,40.83628
-328.5443,286.2562,-356.5139,-0.2761042,-0.1904743,-0.3429179,8.899998,0,42.01177
-328.3755,281.3586,-356.6957,-0.2698799,-0.1899035,-0.3579068,8.999998,0,48.08072
-328.2638,277.4571,-356.6813,-0.2633784,-0.189088,-0.3697957,9.099998,0,39.10694
-328.5442,273.3358,-357.1398,-0.2576145,-0.186713,-0.3791705,9.199999,0,39.10694
-329.0643,269.9874,-358.3159,-0.2514742,-0.1861992,-0.3879537,9.299999,0,29.64267
-329.8411,267.3785,-358.5211,-0.2440473,-0.1851792,-0.399747,9.4,0,26.28058
-332.1769,263.9522,-357.8961,-0.2347409,-0.1796168,-0.4124106,9.5,0,44.33817
-332.8325,262.6643,-357.7086,-0.2300881,-0.1775541,-0.4156796,9.6,0,15.31323
-338.381,260.3214,-356.2823,-0.2121156,-0.1639399,-0.4202836,9.700001,0,64.08237
-344.0833,260.3688,-355.7119,-0.2004809,-0.1517574,-0.4192547,9.800001,0,57.29557
-349.1979,261.7222,-355.1725,-0.1890065,-0.1402688,-0.4155033,9.900002,0,52.8602
-353.4142,263.4345,-354.7677,-0.1802487,-0.1311393,-0.4115471,10,0,45.45761
2.277298,265.8227,-354.2682,-0.1707511,-0.1229527,-0.4061992,10.1,0,49.32337
359.4003,267.6303,-353.7338,-0.1648572,-0.1176004,-0.403087,10.2,0,34.34972
357.1347,268.9405,-353.4144,-0.1613048,-0.1135017,-0.4010144,10.3,0,26.41427
355.182,270.199,-353.1143,-0.1592725,-0.1101103,-0.3986083,10.4,0,23.53059
353.2249,271.3597,-352.8007,-0.1570293,-0.106691,-0.3969808,10.5,0,23.12459
351.4768,272.4551,7.675565,-0.1528054,-0.1035458,-0.395849,10.6,0,21.49672
349.6287,273.2474,7.618711,-0.1464886,-0.1000238,-0.3943169,10.7,0,20.07714
347.7538,274.3318,6.760867,-0.1376945,-0.09658524,-0.3904051,10.8,0,22.50011
346.1223,275.189,5.356515,-0.1263783,-0.09351558,-0.3850991,10.90001,0,21.96497
344.8253,276.7405,3.66023,-0.116105,-0.09106215,-0.3768695,11.00001,0,23.7623
343.1639,279.3076,1.790156,-0.1073742,-0.08831485,-0.3671006,11.10001,0,31.93343
342.9974,281.15,0.3106287,-0.1025435,-0.08860634,-0.358942,11.20001,0,20.05764
345.7177,281.7294,359.613,-0.1027225,-0.09309221,-0.35461,11.30001,0,28.29154
349.7485,281.5809,359.7874,-0.107078,-0.09939381,-0.3544458,11.40001,0,40.36
351.7175,283.972,-0.005639512,-0.1120287,-0.1016776,-0.3520807,11.50001,0,31.29711
353.8557,301.9969,1.306572,-0.1089562,-0.1031239,-0.3311066,11.60001,0,183.5977
-5.072388,-28.96466,5.489299,-0.08734476,-0.1041833,-0.3089818,11.70001,0,297.5266
-8.43042,-2.137573,6.84853,-0.05965901,-0.100457,-0.3042237,11.80001,0,272.2409
-9.853333,17.06992,6.266842,-0.04042967,-0.0986787,-0.3115733,11.90001,0,191.7605
-10.46878,19.50941,4.820593,-0.04132907,-0.09784767,-0.3168677,12.00001,0,26.7909
-10.57755,15.9146,4.647218,-0.0519152,-0.09855051,-0.3188297,12.10001,0,36.31923
-11.1987,7.729357,5.356395,-0.07054486,-0.09766662,-0.3178822,12.20001,0,81.04919
-14.06525,-3.15979,4.585269,-0.09115592,-0.09220314,-0.3199768,12.30001,0,114.4682
-16.492,-13.39914,3.969952,-0.1095252,-0.08917906,-0.3254491,12.40001,0,106.966
-15.5545,-16.61078,4.987945,-0.1200352,-0.09119351,-0.327892,12.50001,0,32.28934
-14.68042,-16.23865,5.192112,-0.1257855,-0.09356283,-0.3278735,12.60001,0,9.922803
-12.17072,-17.01263,5.21279,-0.1305548,-0.09785755,-0.3281032,12.70001,0,26.25376
-8.85965,-17.64117,4.735861,-0.1339571,-0.1027557,-0.3285848,12.80001,0,34.19898
-7.707123,-18.9776,4.65078,-0.1375736,-0.105731,-0.3290051,12.90001,0,17.75586
-6.457855,-20.45538,4.701948,-0.1413638,-0.1082934,-0.3300386,13.00001,0,19.30601
-5.468567,-22.41333,4.657927,-0.1457212,-0.1108006,-0.3319439,13.10001,0,21.98278
-4.593353,-24.47867,4.732259,-0.1497496,-0.1128201,-0.3339773,13.20001,0,22.38851
-4.527863,-27.10928,4.146188,-0.1526666,-0.1135913,-0.3361516,13.30001,0,27.41187
-3.993683,-29.49393,3.735445,-0.1541484,-0.1145246,-0.3380933,13.40001,0,25.06715
-3.628937,-30.4184,3.730906,-0.1542923,-0.114959,-0.3386708,13.50002,0,9.922803
-3.589478,-30.6825,3.663175,-0.1526509,-0.1148218,-0.3383029,13.60002,0,2.769528
-3.517914,-30.98868,3.365928,-0.1508182,-0.1148001,-0.3382793,13.70002,0,4.476235
-3.546509,-30.93958,3.022379,-0.1487507,-0.114463,-0.3385136,13.80002,0,3.44917
-3.623779,-31.04059,3.067528,-0.1473835,-0.1144013,-0.3394036,13.90002,0,0
-3.646545,-31.43753,3.075623,-0.1463332,-0.1143728,-0.3406461,14.00002,0,3.95647
