XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-3.486694,-3.373108,-3.575073,-0.06155141,-0.07639506,0.189281,0,0,60.86092
-4.497253,0.5021786,-3.726135,0.005708144,0.005968047,-0.006394713,0.1,0,39.97802
-5.620087,0.9556224,-3.827942,0.006573349,0.007483157,-0.008389499,0.2,0,12.11745
-7.309906,1.561964,-3.933624,0.007668138,0.009600633,-0.01094994,0.3,0,17.94441
-8.987305,2.179611,-4.023987,0.008677839,0.01178929,-0.01349365,0.4,0,17.85696
-10.81976,2.897786,-4.073364,0.009498607,0.01396177,-0.01629131,0.5,0,19.65557
-12.00543,3.438192,-4.15509,0.01030983,0.01533472,-0.01829023,0.6,0,12.9903
-12.58347,3.720755,-4.2789,0.01091469,0.01586983,-0.0192417,0.7,0,6.440672
-12.87225,4.07825,-4.391052,0.01170422,0.01613561,-0.01959648,0.8000001,0,4.528388
-13.09497,4.360621,-4.540405,0.01233061,0.0163442,-0.01973972,0.9000001,0,3.647685
-13.29428,4.452799,-4.545319,0.0124814,0.0166517,-0.01995658,1,0,2.202868
-13.48831,4.51316,-4.59317,0.01235581,0.01709483,-0.02057642,1.1,2,2.017411
-13.71603,4.452848,-4.572327,0.01221578,0.01730394,-0.02131033,1.2,0,2.306998
-14.02203,4.425574,-4.527893,0.01212353,0.01769145,-0.02202743,1.3,0,3.039022
-14.23581,4.409873,-4.493683,0.01188466,0.01794246,-0.02260518,1.4,0,2.093566
-14.23773,4.436405,-4.48764,0.01173087,0.01794109,-0.02292549,1.5,0,0
-14.22174,4.338093,-4.453003,0.01156494,0.01784704,-0.02312026,1.6,0,0
-14.21738,4.351969,-4.420868,0.01163961,0.01785336,-0.02297733,1.7,0,0
-14.14001,4.373947,-4.457581,0.01170856,0.01795018,-0.02294392,1.8,0,0
-14.23557,4.280555,-4.450745,0.0115215,0.01803504,-0.02303918,1.9,0,0
-14.32776,4.235829,-4.426941,0.01122836,0.01807256,-0.02313018,2,0,0
-14.32791,4.233393,-4.411469,0.01118352,0.01810475,-0.02342266,2.1,0,0
-14.33823,4.277871,-4.42691,0.01119565,0.01802675,-0.02356903,2.2,0,0
-14.33804,4.234224,-4.427399,0.01129993,0.01803901,-0.02340103,2.3,0,0
-14.26007,4.260156,-4.466675,0.01151651,0.01792392,-0.02323234,2.4,0,0
-14.17047,4.364253,-4.580597,0.01191212,0.01766367,-0.02277897,2.5,0,1.631294
-14.10767,4.349631,-4.63501,0.01185364,0.01757753,-0.0228738,2.6,0,0
-13.96216,4.372615,-4.623108,0.01205698,0.01741857,-0.02259599,2.7,0,0
-13.72467,4.409108,-4.703888,0.01247495,0.01722483,-0.02205172,2.799999,0,2.470814
-13.01389,4.346949,-4.796234,0.01259103,0.01633913,-0.02085682,2.899999,0,7.20904
-12.2738,4.011641,-4.727692,0.01226728,0.01538778,-0.01936497,2.999999,0,8.089035
-11.95132,3.850223,-4.632599,0.01188732,0.01487178,-0.0181967,3.099999,0,3.647685
-11.89957,3.90772,-4.647095,0.01185115,0.01493017,-0.01781256,3.199999,0,0
-11.95322,3.917879,-4.696167,0.01191682,0.01492427,-0.01825217,3.299999,0,0
-12.18933,3.960837,-4.68927,0.01204149,0.015161,-0.01904622,3.399999,0,2.406626
-12.32773,4.094753,-4.73056,0.01235642,0.01549278,-0.01960175,3.499999,0,1.855748
-12.16974,4.200726,-4.779083,0.01242201,0.01542134,-0.0195376,3.599999,0,1.855748
-11.88626,4.131756,-4.764923,0.01224889,0.01506137,-0.01876483,3.699999,0,2.907399
-11.71552,3.985487,-4.657623,0.01195632,0.01477718,-0.01847808,3.799999,0,2.340678
-11.27341,3.795196,-4.639862,0.01170563,0.01434926,-0.01788767,3.899998,0,4.796966
-10.78699,3.427674,-4.504913,0.01103665,0.01372784,-0.01744491,3.999998,0,6.103749
-9.652771,2.930851,-4.348083,0.01000264,0.01222775,-0.01667164,4.099998,0,12.37312
-7.622986,2.505934,-4.314331,0.00912714,0.01004742,-0.01499245,4.199998,0,20.72931
-5.363861,2.110112,-4.269409,0.008411777,0.007096932,-0.01208722,4.299998,0,22.92743
-2.961914,1.69526,-4.158539,0.00777935,0.004441034,-0.009050543,4.399998,0,24.38014
-0.3623657,1.367723,-4.276398,0.007524756,0.001240465,-0.00557033,4.499998,0,26.22691
1.447765,1.098341,-4.491547,0.007547647,-0.001013675,-0.002515179,4.599998,0,18.42222
3.101605,0.7570665,-4.658569,0.007502511,-0.003374045,0.0003955001,4.699998,0,16.95767
4.989277,0.6570691,-4.93924,0.007714648,-0.005882427,0.00268824,4.799998,0,19.10222
7.624815,1.040913,-5.460083,0.009127788,-0.009567942,0.005988035,4.899998,0,27.217
10.60393,2.450034,-6.275818,0.0127258,-0.01413686,0.01004335,4.999998,0,34.48164
13.2596,4.917956,-7.055237,0.01836511,-0.01869565,0.01437799,5.099998,0,38.1422
14.57708,6.965272,-7.46106,0.02355826,-0.02137776,0.01738202,5.199997,0,25.47908
14.9053,8.119843,-7.680573,0.02706148,-0.02251612,0.01829343,5.299997,0,12.71628
14.91028,8.956972,-7.926331,0.02903923,-0.02266555,0.01757224,5.399997,0,9.304037
14.40183,9.739605,-7.894562,0.03007934,-0.02182897,0.01641246,5.499997,0,9.278766
13.69114,10.50986,-7.577576,0.03072132,-0.02052194,0.01555445,5.599997,0,10.40036
13.11075,11.16494,-7.368195,0.03167564,-0.01952188,0.01489437,5.699997,0,8.641077
12.47886,11.61501,-7.341309,0.0321783,-0.01855317,0.01382612,5.799997,0,7.732861
11.72463,12.16093,-7.389618,0.03316921,-0.01733967,0.01253552,5.899997,0,9.379443
11.0505,13.05727,-7.019714,0.03457883,-0.01623201,0.011113,5.999997,0,11.23948
10.35616,14.18635,-6.799225,0.03575796,-0.01496893,0.009453107,6.099997,0,13.09234
9.931134,14.23365,-6.967773,0.03611871,-0.01425776,0.008322829,6.199996,0,4.647801
9.704287,14.25991,-6.947418,0.03604673,-0.01402064,0.008136732,6.299996,0,2.306998
9.464043,15.40203,-6.832031,0.03755588,-0.01360631,0.007946795,6.399996,0,11.54182
8.853988,18.72027,-6.858887,0.04167238,-0.01273333,0.006389502,6.499996,0,33.78214
7.976896,24.08084,-6.516022,0.04856686,-0.01151518,0.00293526,6.599996,0,53.92918
6.284609,31.66371,-5.469269,0.05696198,-0.009308443,-0.002434647,6.699996,0,77.12509
3.359657,38.54651,-5.319977,0.06487452,-0.004894836,-0.009506986,6.799996,0,74.67838
-358.644,42.45693,-5.824036,0.07008533,-0.001931719,-0.01521917,6.899996,0,44.4105
-359.3405,45.53276,-6.604675,0.07413242,-0.0008908969,-0.02018915,6.999996,0,32.61978
-0.02856445,47.69445,-7.513214,0.07806937,0.0002735384,-0.02408825,7.099996,0,24.48266
-1.126068,49.73657,-8.018799,0.08073562,0.001556877,-0.02744401,7.199996,0,23.68642
-4.004028,52.82389,-8.206451,0.08295377,0.005926066,-0.0321598,7.299995,0,42.18657
-8.369843,55.06382,-7.771698,0.08122562,0.01173043,-0.03688176,7.399995,0,49.47077
-12.50333,54.86558,-7.260529,0.07652659,0.01727134,-0.03937111,7.499995,0,41.65434
-17.42038,53.83771,353.0975,0.06823179,0.02361636,-0.04251485,7.599995,0,50.17165
-22.05786,52.5524,353.4272,0.05820251,0.0289983,-0.04644227,7.699995,0,47.93558
-26.91821,50.22512,354.4786,0.04576098,0.03429149,-0.05170759,7.799995,0,53.02141
-32.11658,46.88224,355.3422,0.032723,0.03827912,-0.0581441,7.899995,0,60.07618
-37.53235,42.75442,356.1656,0.02054178,0.04144773,-0.06643219,7.999995,0,65.69113
-41.99442,38.04277,357.2766,0.009726965,0.04301592,-0.07527516,8.099995,0,60.52807
-45.07547,32.88808,359.4448,0.0004556831,0.04410828,-0.082355,8.199995,0,50.35701
-46.96216,28.76966,0.8745697,-0.005616997,0.0438955,-0.08743624,8.299995,0,37.53603
-47.13321,27.20196,1.690384,-0.007764386,0.04401031,-0.08718889,8.399996,0,11.31582
-46.23425,25.99692,2.344712,-0.007641533,0.04355123,-0.083111,8.499996,0,12.41102
-44.42026,24.11102,2.787182,-0.006482709,0.04295594,-0.07705788,8.599997,0,24.19968
-41.9588,20.58878,2.622198,-0.005095776,0.04113532,-0.07079994,8.699997,0,43.91949
-38.21423,17.03309,2.15803,-0.003813561,0.0383141,-0.06367216,8.799997,0,53.85509
-33.85678,13.81727,2.080033,-0.002659068,0.03498633,-0.05446353,8.899998,0,54.43064
