XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
24.21091,10.74031,-9.263428,-0.07435606,-0.1215487,0.1553885,0,0,287.4254
26.20737,5.813463,-7.686401,0.02207297,-0.04445613,0.02065316,0.1,0,61.12411
26.79759,9.074611,-6.769531,0.02744965,-0.04555784,0.01885023,0.2,0,30.25169
26.67604,10.09424,-6.926483,0.03013101,-0.04551176,0.01813804,0.3,0,11.05694
26.28649,10.79259,-7.05722,0.03222538,-0.04481633,0.01818155,0.4,0,8.586559
25.86346,11.53311,-7.166199,0.03425258,-0.04400161,0.01821009,0.5,0,8.996096
25.31488,13.26513,-7.244568,0.03810352,-0.04313224,0.01794758,0.6,0,18.50277
25.03386,15.74895,-7.398254,0.04340049,-0.04318286,0.01722751,0.7,0,25.68408
25.01387,18.11372,-7.282593,0.04815341,-0.04321923,0.01653018,0.8000001,0,23.18543
24.75764,19.50368,-7.008453,0.0509101,-0.04256311,0.01634522,0.9000001,0,13.23504
24.35116,20.05483,-7.023743,0.05221458,-0.0416703,0.01611122,1,0,6.875619
23.77928,20.36615,-7.029968,0.0529196,-0.04024091,0.01574413,1.1,0,6.501149
23.16418,21.0509,-6.946503,0.05393835,-0.03873399,0.01478681,1.2,0,8.996096
22.37778,22.45528,-6.790985,0.055905,-0.03657859,0.01248858,1.3,0,15.64694
21.52104,23.16522,-6.824707,0.05664277,-0.03432828,0.01037579,1.4,0,11.21159
20.83869,23.08573,-6.898071,0.05597712,-0.03252561,0.008976303,1.5,0,6.864226
20.58405,22.725,-6.885834,0.054724,-0.03165726,0.008230556,1.6,0,4.441127
20.62973,22.37273,-6.754883,0.05349807,-0.03154995,0.007928411,1.7,0,4.1684
20.62339,22.14148,-6.608185,0.05238696,-0.03144456,0.007962678,1.8,0,3.14035
20.66424,22.00717,-6.517609,0.05175511,-0.03135878,0.008125985,1.9,0,1.897456
20.613,22.05203,-6.444489,0.05139728,-0.03114778,0.008186388,2,0,0
