XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
-359.0897,-358.022,358.2717,-0.08223989,-0.05813019,-0.3231708,0,0
-359.0288,-359.9974,358.2032,0.002358116,-0.001432762,0.00148045,0.1,0
-358.9215,359.9827,358.1833,0.001989077,-0.00127953,0.001093549,0.2,0
-358.8945,-359.9961,358.1781,0.001595837,-0.001364338,0.0009696212,0.3,0
-358.7344,-359.9719,358.0685,0.00164017,-0.00143,0.001231241,0.4,0
-358.5061,359.9641,357.9992,0.002093367,-0.002152196,0.001474206,0.5,0
-358.0038,359.963,357.8831,0.002038606,-0.002787274,0.001601434,0.6,0
-356.1973,-359.8862,357.5393,0.002151161,-0.005857059,0.003737826,0.7,0
-352.84,-359.6893,356.9789,0.003314844,-0.01073983,0.006983854,0.8000001,0
-348.7892,-359.5085,356.4292,0.004967649,-0.01705194,0.01238499,0.9000001,0
-344.7884,359.3749,355.852,0.004266844,-0.02373352,0.01956979,1,0
-341.8053,357.7551,355.7248,0.002476499,-0.02855382,0.02614315,1.1,0
-340.9369,355.7451,355.89,-0.0005508112,-0.03047743,0.03152812,1.2,0
-339.377,354.4534,355.5867,-0.003360905,-0.03356083,0.03397002,1.3,0
-337.321,353.4424,355.2812,-0.005658291,-0.03684396,0.03512272,1.4,0
-337.0464,351.2209,353.996,-0.009319015,-0.03734373,0.03653527,1.5,0
-338.4434,345.7935,352.1117,-0.01617077,-0.03554093,0.03764034,1.6,0
-341.6623,336.9846,351.0062,-0.03078479,-0.03037088,0.0356457,1.7,0
-345.6632,326.7412,350.7321,-0.04905472,-0.02554158,0.0294465,1.8,0
-348.5973,319.4018,352.0674,-0.063626,-0.02220195,0.02284319,1.9,0
-351.1189,313.6653,354.3238,-0.07406952,-0.01887446,0.01528753,2,0
-352.8596,310.5459,355.6066,-0.07865835,-0.01629095,0.0102404,2.1,0
-354.8116,309.8275,356.412,-0.07847705,-0.01255629,0.005808303,2.2,0
-356.6651,310.4454,357.0468,-0.07599539,-0.009211882,0.003586631,2.3,0
-357.7481,311.92,357.2958,-0.07247371,-0.007099598,0.003175067,2.4,0
-358.4127,314.0879,357.4609,-0.06817929,-0.005885325,0.004108131,2.5,0
-358.8683,317.9106,357.2514,-0.06148501,-0.004958017,0.006937534,2.6,0
-359.7063,323.3872,357.705,-0.05328906,-0.003416251,0.0103477,2.7,0
359.2577,331.0232,358.1393,-0.04145931,-0.001633182,0.01282378,2.799999,0
356.9062,338.2324,358.8322,-0.03009635,0.001956307,0.01358965,2.899999,0
353.4601,345.5757,358.8094,-0.01858165,0.007162258,0.01195514,2.999999,0
350.5759,351.7935,358.5963,-0.007972095,0.01069694,0.007422015,3.099999,0
348.8785,356.6189,357.885,0.0009125294,0.01345084,0.001767918,3.199999,0
348.8461,358.0793,357.2917,0.004372437,0.01344555,0.0005205622,3.299999,0
349.0061,358.3041,357.168,0.005870059,0.01335841,0.001555978,3.399999,0
348.8855,358.5332,357.4411,0.006579932,0.01332517,0.003688837,3.499999,0
