XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
1.826093,4.641925,-0.7453918,-0.04933193,-0.1548948,-0.6078947,0,0
7.276677,-0.2521667,-0.4877319,0.0005311668,-0.01257313,0.01517137,0.1,0
10.83196,-0.5559082,-0.1991577,0.0001345091,-0.01835584,0.02543609,0.2,0
12.87387,-1.075928,-0.1933289,-0.0008734465,-0.02198917,0.0337247,0.3,0
13.61165,-1.114136,-0.3553467,-0.0008767806,-0.02341316,0.03759589,0.4,0
13.8244,-0.3977356,-0.6832275,0.0008976543,-0.02436805,0.03902134,0.5,0
13.98596,3.376247,-0.7133789,0.01049556,-0.02518807,0.03969746,0.6,0
14.2916,12.44556,-0.8068848,0.03235374,-0.02596495,0.03892626,0.7,0
14.77878,21.27966,-1.273102,0.05488805,-0.02724155,0.0357019,0.8000001,0
15.00768,22.36123,-2.247314,0.06420252,-0.02835797,0.03294226,0.9000001,0
14.65837,17.9762,-3.123901,0.05885638,-0.02743918,0.03316412,1,0
14.24403,10.96363,-4.196198,0.04518731,-0.02587082,0.03616934,1.1,0
13.00383,0.8642901,-4.448486,0.02054825,-0.02226989,0.0399336,1.2,0
12.60063,-8.942017,-3.179047,-0.007971529,-0.02116019,0.04025107,1.3,0
12.95885,-12.93994,359.7281,-0.02734144,-0.02193464,0.03890051,1.4,0
12.56448,-11.2616,1.210673,-0.03275076,-0.02225578,0.03703989,1.5,0
11.37473,-7.81662,1.754065,-0.02820049,-0.01974283,0.03667455,1.6,0
8.235224,-4.578033,2.647647,-0.02169145,-0.01340594,0.03513634,1.7,0
3.436883,-2.856964,2.430434,-0.01497407,-0.003958161,0.02938433,1.8,0
0.4951414,-3.50061,1.513497,-0.01066157,0.001657293,0.02048315,1.9,0
-4.82608,-4.429352,1.207487,-0.008614261,0.01062814,0.01137802,2,0
-10.60568,-5.101807,1.371943,-0.008554965,0.01855382,0.0001262797,2.1,0
-12.54352,-4.80014,2.037524,-0.01042817,0.02140215,-0.007634512,2.2,0
-12.80255,-5.119415,2.621196,-0.01293312,0.02173182,-0.009883896,2.3,0
-11.9744,-5.136993,2.969543,-0.0143032,0.02021213,-0.008991006,2.4,0
-9.836029,-5.34491,3.590504,-0.0160927,0.01654062,-0.006837014,2.5,0
-5.734894,-6.536835,3.914413,-0.01898022,0.00986466,-0.002991711,2.6,0
2.050579,-6.733612,3.946521,-0.02048785,-0.003168575,0.005356929,2.7,0
4.065827,-6.734375,3.588535,-0.02094707,-0.006774569,0.01288,2.799999,0
4.879832,-5.919617,3.258948,-0.01976076,-0.007536977,0.01819248,2.899999,0
4.261908,-5.102203,3.337865,-0.01852383,-0.006236228,0.02052994,2.999999,0
4.669465,-4.797302,3.114344,-0.017768,-0.007602137,0.02034984,3.099999,0
5.630188,-4.85849,3.037843,-0.01793208,-0.01016013,0.01985998,3.199999,0
5.629205,-5.02179,3.176831,-0.01847605,-0.01037036,0.01972299,3.299999,0
5.286433,-4.781128,3.139716,-0.01779122,-0.008951875,0.01968276,3.399999,0
4.260626,-4.512054,3.003587,-0.01674852,-0.006779274,0.01951245,3.499999,0
3.859025,-4.111694,2.860265,-0.01588455,-0.006152462,0.01877048,3.599999,0
